,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Patrick Mahomes II(KC),31,42,73.8,385,9.2,4,0,0,4,26,1,0,1,40.0,40.0,100.0%
1,2,Russell Wilson(SEA),27,40,67.5,315,7.9,5,0,4,6,22,0,0,1,36.8,36.8,90.4%
2,3,Josh Allen(BUF),24,33,72.7,311,9.4,4,1,4,4,8,1,1,1,32.2,32.2,100.0%
3,4,Dak Prescott(DAL),37,57,64.9,472,8.3,3,2,2,6,26,0,1,1,29.5,29.5,98.2%
4,5,Jared Goff(DET),23,32,71.9,321,10.0,2,1,2,2,4,1,0,1,28.2,28.2,5.3%
5,6,Kyler Murray(ARI),23,35,65.7,270,7.7,2,3,1,5,29,1,0,1,24.7,24.7,99.3%
6,7,Aaron Rodgers(GB),21,32,65.6,283,8.8,3,0,1,2,12,0,0,1,24.5,24.5,97.4%
7,8,Ryan Fitzpatrick(WAS),18,20,90.0,160,8.0,2,0,1,7,38,1,0,1,24.2,24.2,6.1%
8,9,Tom Brady(FA),25,38,65.8,297,7.8,3,0,2,5,0,0,0,1,23.9,23.9,99.1%
9,10,Drew Brees(FA),29,36,80.6,288,8.0,3,0,2,0,0,0,0,1,23.5,23.5,35.7%
10,11,Carson Wentz(IND),29,47,61.7,225,4.8,1,2,3,9,65,1,0,1,23.5,23.5,44.0%
11,12,Kirk Cousins(MIN),16,27,59.3,251,9.3,3,2,2,2,14,0,0,1,21.4,21.4,70.7%
12,13,Joe Burrow(CIN),31,44,70.5,312,7.1,2,0,8,1,-1,0,0,1,20.4,20.4,88.3%
13,14,Ben Roethlisberger(FA),23,36,63.9,237,6.6,2,0,2,5,-3,0,0,1,19.2,19.2,23.8%
14,15,Matthew Stafford(LAR),22,31,71.0,270,8.7,2,0,4,1,-3,0,0,1,18.5,18.5,97.2%
15,16,Nick Foles(CHI),16,29,55.2,188,6.5,3,1,0,3,-3,0,0,1,18.2,18.2,0.7%
16,17,Deshaun Watson(HOU),19,27,70.4,264,9.8,2,1,5,1,5,0,0,1,18.1,18.1,5.0%
17,18,Nick Mullens(CLE),25,36,69.4,343,9.5,1,0,2,4,0,0,0,1,17.7,17.7,0.3%
18,19,Justin Herbert(LAC),35,49,71.4,330,6.7,1,1,2,3,15,0,1,1,15.7,15.7,98.8%
19,20,Derek Carr(LV),24,32,75.0,261,8.2,2,0,2,2,10,0,2,1,15.4,15.4,58.1%
20,21,Teddy Bridgewater(DEN),22,28,78.6,235,8.4,1,0,2,2,12,0,0,1,14.6,14.6,15.6%
21,22,Baker Mayfield(CLE),16,23,69.6,156,6.8,2,0,2,1,1,0,0,1,14.3,14.3,26.4%
22,23,Lamar Jackson(BAL),15,28,53.6,97,3.5,1,0,4,9,83,0,1,1,14.2,14.2,94.0%
23,24,Ryan Tannehill(TEN),23,37,62.2,321,8.7,0,1,1,4,9,0,0,1,12.7,12.7,62.7%
24,25,Philip Rivers(FA),17,21,81.0,217,10.3,1,0,0,0,0,0,0,1,12.7,12.7,20.6%
25,26,Mitchell Trubisky(BUF),13,22,59.1,128,5.8,1,1,2,1,45,0,0,1,12.6,12.6,0.4%
26,27,Matt Ryan(ATL),19,38,50.0,238,6.3,1,1,2,1,-1,0,0,1,12.4,12.4,36.3%
27,28,Dwayne Haskins(PIT),21,37,56.8,224,6.1,2,3,3,2,2,0,1,1,12.2,12.2,0.1%
28,29,Cam Newton(CAR),17,28,60.7,162,5.8,1,1,2,9,27,0,0,1,12.2,12.2,20.3%
29,30,Jeff Driskel(HOU),17,30,56.7,176,5.9,1,1,5,3,14,0,0,1,11.4,11.4,0.0%
30,31,Gardner Minshew II(PHI),30,42,71.4,275,6.5,0,1,4,3,22,0,1,1,10.2,10.2,2.2%
31,32,Sam Darnold(CAR),17,29,58.6,168,5.8,1,3,2,5,20,0,0,1,9.7,9.7,5.5%
32,33,Daniel Jones(NYG),17,32,53.1,179,5.6,0,1,2,5,49,0,1,1,9.1,9.1,13.6%
