Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Cordarrelle Patterson(ATL),6,34,5.7,13,0,0,5,6,82,16.4,3,0,1,29.6,29.6,95.1%
2,Austin Ekeler(LAC),15,117,7.8,20,0,1,3,5,28,9.3,1,0,1,26.5,26.5,99.9%
3,Saquon Barkley(NYG),13,52,4.0,17,0,1,5,6,74,14.8,1,0,1,24.6,24.6,97.6%
4,Derrick Henry(TEN),33,157,4.8,22,0,1,2,2,20,10.0,0,0,1,23.7,23.7,78.0%
5,David Montgomery(CHI),23,106,4.6,24,0,2,0,0,0,0,0,0,1,22.6,22.6,98.7%
6,Ezekiel Elliott(DAL),20,143,7.2,47,0,1,0,1,0,0,0,0,1,20.3,20.3,99.7%
7,James Robinson(JAC),18,78,4.3,20,0,2,1,2,-2,-2.0,0,0,1,19.6,19.6,76.3%
8,James Conner(ARI),18,50,2.8,10,0,2,2,2,16,8.0,0,0,1,18.6,18.6,94.6%
9,Jonathan Taylor(IND),16,103,6.4,38,0,1,3,3,11,3.7,0,0,1,17.4,17.4,100.0%
10,Clyde Edwards-Helaire(KC),14,102,7.3,17,0,0,2,3,1,0.5,1,0,1,16.3,16.3,86.8%
11,Najee Harris(PIT),15,62,4.1,11,0,1,6,7,29,4.8,0,0,1,15.1,15.1,99.9%
12,Kenneth Gainwell(PHI),3,31,10.3,13,0,1,6,8,58,9.7,0,0,1,14.9,14.9,12.8%
13,Kareem Hunt(CLE),14,69,4.9,33,0,1,2,4,17,8.5,0,0,1,14.6,14.6,82.1%
14,Chase Edmonds(ARI),12,120,10.0,54,0,0,4,5,19,4.8,0,0,1,13.9,13.9,85.1%
15,Leonard Fournette(TB),20,92,4.6,21,0,0,3,5,47,15.7,0,0,1,13.9,13.9,74.8%
16,Alex Collins(SEA),10,44,4.4,14,0,1,2,2,34,17.0,0,0,1,13.8,13.8,18.8%
17,Antonio Gibson(WAS),14,63,4.5,8,0,1,2,2,12,6.0,0,0,1,13.5,13.5,95.9%
18,Damien Williams(CHI),8,55,6.9,23,0,1,2,2,15,7.5,0,0,1,13.0,13.0,4.4%
19,Joe Mixon(CIN),16,67,4.2,11,0,1,1,2,0,0.0,0,0,1,12.7,12.7,98.1%
20,Zack Moss(BUF),14,61,4.4,17,0,1,0,1,0,0,0,0,1,12.1,12.1,36.8%
21,Alvin Kamara(NO),26,120,4.6,10,0,0,0,0,0,0,0,0,1,12.0,12.0,100.0%
22,J.D. McKissic(WAS),7,15,2.1,10,0,0,5,5,44,8.8,1,0,1,11.9,11.9,32.9%
23,Latavius Murray(BAL),18,59,3.3,11,0,1,0,0,0,0,0,0,1,11.9,11.9,22.2%
24,Darrel Williams(KC),10,42,4.2,10,0,1,2,2,16,8.0,0,0,1,11.8,11.8,79.6%
