Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Rashaad Penny(SEA),23,190,8.3,62,0,1,0,0,0,0,0,0,1,25.0,25.0,78.9%
2,Austin Ekeler(LAC),16,64,4.0,14,0,1,5,12,35,7.0,1,0,1,23.9,23.9,99.9%
3,Devin Singletary(BUF),19,88,4.6,40,0,1,2,2,24,12.0,1,0,1,23.2,23.2,89.1%
4,James Conner(ARI),15,52,3.5,19,0,1,6,6,41,6.8,1,0,1,21.3,21.3,94.6%
5,Antonio Gibson(WAS),21,146,7.0,27,0,1,1,3,5,5.0,0,0,1,21.1,21.1,95.9%
6,Latavius Murray(BAL),16,150,9.4,46,0,1,0,0,0,0,0,0,1,21.0,21.0,22.2%
7,Josh Jacobs(LV),26,132,5.1,28,0,1,2,2,12,6.0,0,0,1,20.4,20.4,98.0%
8,D'Ernest Johnson(CLE),25,123,4.9,13,0,1,1,1,10,10.0,0,0,1,19.3,19.3,18.7%
9,Brandon Bolden(NE),7,46,6.6,19,0,1,2,2,20,10.0,1,0,1,18.6,18.6,10.7%
10,Duke Johnson Jr.(MIA),25,117,4.7,27,0,1,1,1,5,5.0,0,0,1,18.2,18.2,7.4%
11,Alvin Kamara(NO),30,146,4.9,27,0,0,2,2,16,8.0,0,0,1,16.2,16.2,100.0%
12,Melvin Gordon III(DEN),12,110,9.2,47,0,1,1,2,6,6.0,0,1,1,15.6,15.6,87.8%
13,Kenneth Gainwell(PHI),12,78,6.5,18,0,1,4,7,9,2.3,0,0,1,14.7,14.7,12.8%
14,Corey Clement(DAL),7,58,8.3,38,0,0,4,4,22,5.5,1,0,1,14.0,14.0,0.8%
15,Damien Harris(NE),11,37,3.4,7,0,1,4,4,36,9.0,0,0,1,13.3,13.3,89.8%
16,Chris Evans(CIN),7,35,5.0,12,0,0,4,5,24,6.0,1,0,1,11.9,11.9,0.5%
17,Chuba Hubbard(CAR),9,48,5.3,19,0,0,2,2,8,4.0,1,0,1,11.6,11.6,58.1%
18,Patrick Taylor Jr.(GB),11,53,4.8,12,0,1,2,2,3,1.5,0,0,1,11.6,11.6,0.3%
19,Jerick McKinnon(KC),5,24,4.8,7,0,0,3,3,26,8.7,1,0,1,11.0,11.0,0.8%
