,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Deshaun Watson(HOU),25,34,73.5,283,8.3,4,1,1,4,24,1,0,1,33.7,33.7,5.0%
1,2,Cam Newton(CAR),22,29,75.9,316,10.9,3,1,2,8,44,1,0,1,33.0,33.0,20.3%
2,3,Andy Dalton(CHI),25,30,83.3,286,9.5,4,0,3,4,29,0,1,1,28.3,28.3,1.6%
3,4,Eli Manning(FA),30,49,61.2,288,5.9,2,0,0,3,22,1,0,1,27.7,27.7,2.3%
4,5,Russell Wilson(SEA),21,26,80.8,295,11.3,2,2,3,4,38,1,0,1,27.6,27.6,90.4%
5,6,Alex Smith(FA),27,37,73.0,293,7.9,1,0,4,7,56,1,0,1,27.3,27.3,5.0%
6,7,Jameis Winston(NO),22,38,57.9,332,8.7,3,0,1,4,12,0,0,1,26.5,26.5,5.2%
7,8,Aaron Rodgers(GB),18,26,69.2,179,6.9,4,0,2,1,-1,0,0,1,23.1,23.1,97.4%
8,9,Dak Prescott(DAL),20,36,55.6,252,7.0,3,1,2,3,25,0,0,1,22.6,22.6,98.2%
9,10,Kirk Cousins(MIN),14,24,58.3,220,9.2,2,0,0,7,38,0,0,1,20.6,20.6,70.7%
10,11,Tom Brady(FA),32,45,71.1,307,6.8,2,0,3,1,2,0,0,1,20.5,20.5,99.1%
11,12,Philip Rivers(FA),22,38,57.9,347,9.1,2,0,2,0,0,0,1,1,19.9,19.9,20.6%
12,13,Drew Brees(FA),29,41,70.7,268,6.5,2,0,1,4,3,0,0,1,19.0,19.0,35.7%
13,14,Jared Goff(DET),21,36,58.3,255,7.1,2,0,1,1,-1,0,0,1,18.1,18.1,5.3%
14,15,Carson Palmer(FA),33,51,64.7,357,7.0,1,1,6,2,1,0,0,1,16.4,16.4,5.6%
15,16,Marcus Mariota(LV),6,10,60.0,96,9.6,0,2,0,4,39,2,0,1,15.7,15.7,0.2%
16,17,Carson Wentz(IND),17,31,54.8,242,7.8,1,0,1,6,14,0,0,1,15.1,15.1,44.0%
17,18,Tyrod Taylor(HOU),12,20,60.0,182,9.1,1,0,3,7,12,0,0,1,12.5,12.5,4.9%
18,19,Blake Bortles(NO),15,35,42.9,140,4.0,1,1,1,4,38,0,0,1,11.4,11.4,0.1%
19,20,Trevor Siemian(NO),16,26,61.5,179,6.9,1,0,4,4,1,0,0,1,11.3,11.3,1.1%
20,21,Ben Roethlisberger(FA),18,30,60.0,216,7.2,1,1,1,1,-1,0,0,1,10.5,10.5,23.8%
21,22,Matthew Stafford(LAR),19,31,61.3,209,6.7,0,0,6,3,-3,0,0,1,10.1,10.1,97.2%
22,23,Derek Carr(LV),10,18,55.6,143,7.9,1,0,2,0,0,0,0,1,9.7,9.7,58.1%
23,24,Jacoby Brissett(MIA),16,29,55.2,157,5.4,1,1,3,3,33,0,1,1,9.6,9.6,0.6%
24,25,Joe Flacco(NYJ),31,49,63.3,235,4.8,1,2,4,0,0,0,0,1,9.4,9.4,0.3%
25,26,Case Keenum(CLE),16,30,53.3,219,7.3,0,0,2,0,0,0,0,1,8.8,8.8,0.9%
26,27,Matt Ryan(ATL),24,42,57.1,242,5.8,1,2,1,1,8,0,1,1,8.5,8.5,36.3%
27,28,Brian Hoyer(NE),24,49,49.0,234,4.8,0,1,3,1,3,0,0,1,7.7,7.7,0.0%
28,29,Jay Cutler(FA),20,28,71.4,164,5.9,0,1,4,1,5,0,0,1,5.1,5.1,0.2%
29,30,Josh McCown(FA),22,31,71.0,224,7.2,0,1,5,1,0,0,1,1,5.0,5.0,0.0%
30,31,Mike Glennon(NYG),21,33,63.6,218,6.6,1,2,1,1,0,0,2,1,4.7,4.7,0.8%
