Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Justin Jefferson(MIN),8,10,169,21.1,56,0,2,1,3,0,0,1,29.2,29.2,99.9%
2,Davante Adams(GB),7,8,115,16.4,37,0,2,0,0,0,0,1,23.5,23.5,100.0%
3,Elijah Moore(NYJ),8,11,141,17.6,62,0,1,1,15,0,0,1,21.6,21.6,49.1%
4,Marquez Valdes-Scantling(GB),4,10,123,30.8,75,0,1,0,0,0,0,1,18.3,18.3,36.0%
5,Darnell Mooney(CHI),5,16,121,24.2,60,0,1,0,0,0,0,1,18.1,18.1,76.3%
6,Marquise Goodwin(CHI),4,8,104,26.0,49,0,1,0,0,0,0,1,16.4,16.4,0.3%
7,Terry McLaurin(WAS),5,7,103,20.6,39,0,1,0,0,0,0,1,16.3,16.3,97.0%
8,Diontae Johnson(PIT),7,13,101,14.4,32,0,1,0,0,0,0,1,16.1,16.1,98.1%
9,Mike Williams(LAC),5,6,97,19.4,53,0,1,0,0,0,0,1,15.7,15.7,91.9%
10,Deebo Samuel(SF),1,2,15,15.0,15,0,0,8,79,1,0,1,15.4,15.4,98.8%
11,Brandon Aiyuk(SF),7,7,85,12.1,34,0,1,0,0,0,0,1,14.5,14.5,88.8%
12,Stefon Diggs(BUF),4,6,23,5.8,9,0,2,0,0,0,0,1,14.3,14.3,100.0%
13,Mike Evans(TB),6,11,73,12.2,21,0,1,1,10,0,0,1,14.3,14.3,97.8%
14,Adam Thielen(MIN),8,10,82,10.3,26,0,1,0,0,0,0,1,14.2,14.2,82.7%
15,Mack Hollins(MIA),2,3,72,36.0,65,0,1,0,0,0,0,1,13.2,13.2,0.2%
16,Chris Godwin(TB),6,6,65,10.8,18,0,1,1,7,0,0,1,13.2,13.2,67.1%
17,Jaylen Waddle(MIA),8,9,65,8.1,15,0,0,1,1,1,0,1,12.6,12.6,94.6%
18,Tyler Lockett(SEA),4,5,115,28.8,48,0,0,0,0,0,0,1,11.5,11.5,97.5%
19,Keenan Allen(LAC),9,13,112,12.4,30,0,0,0,0,0,0,1,11.2,11.2,99.3%
20,Tyreek Hill(KC),9,11,77,8.6,23,0,0,1,33,0,0,1,11.0,11.0,100.0%
21,DJ Moore(CAR),5,7,50,10.0,13,0,1,0,0,0,0,1,11.0,11.0,95.7%
22,Nick Westbrook-Ikhine(TEN),7,8,107,15.3,46,0,0,0,0,0,0,1,10.7,10.7,8.5%
23,Jamison Crowder(NYJ),6,7,44,7.3,15,0,1,0,0,0,0,1,10.4,10.4,23.6%
24,Jarvis Landry(CLE),4,8,26,6.5,13,0,0,1,16,1,0,1,10.2,10.2,72.5%
