"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Philadelphia Eagles (PHI)","6","0","1","3","1","0","0","1","21.0","21.0","52.5%"
"2","Denver Broncos (DEN)","5","2","0","1","0","0","0","1","17.0","17.0","48.5%"
"3","New Orleans Saints (NO)","3","2","1","1","1","0","0","1","15.0","15.0","79.3%"
"4","New England Patriots (NE)","3","2","0","0","1","0","0","1","13.0","13.0","93.2%"
"5","Seattle Seahawks (SEA)","1","1","0","0","0","0","1","1","13.0","13.0","39.4%"
"6","Tennessee Titans (TEN)","1","2","1","1","1","0","0","1","12.0","12.0","48.4%"
"7","Buffalo Bills (BUF)","2","1","1","1","0","0","0","1","12.0","12.0","95.9%"
"8","Carolina Panthers (CAR)","3","2","0","0","0","0","0","1","11.0","11.0","27.8%"
"9","Pittsburgh Steelers (PIT)","4","0","1","1","0","0","0","1","10.0","10.0","44.6%"
"10","Minnesota Vikings (MIN)","3","1","1","2","0","0","0","1","8.0","8.0","28.0%"
"11","Green Bay Packers (GB)","2","2","1","0","0","0","0","1","8.0","8.0","60.6%"
"12","Los Angeles Rams (LAR)","5","1","0","1","0","0","0","1","7.0","7.0","74.5%"
"13","New York Giants (NYG)","2","1","1","2","0","0","0","1","7.0","7.0","4.5%"
"14","Washington Football Team (WAS)","4","0","1","1","0","0","0","1","7.0","7.0","27.5%"
"15","Cincinnati Bengals (CIN)","2","2","1","1","0","0","0","1","7.0","7.0","14.7%"
"16","Kansas City Chiefs (KC)","3","1","0","1","0","0","0","1","6.0","6.0","45.7%"
"17","Indianapolis Colts (IND)","3","2","0","1","0","0","0","1","6.0","6.0","66.4%"
"18","San Francisco 49ers (SF)","4","1","0","1","0","0","0","1","6.0","6.0","79.5%"
"19","New York Jets (NYJ)","3","1","0","1","0","0","0","1","4.0","4.0","3.3%"
"20","Atlanta Falcons (ATL)","0","0","1","1","0","0","0","1","3.0","3.0","5.8%"
"21","Cleveland Browns (CLE)","2","0","0","0","0","0","0","1","3.0","3.0","40.8%"
"22","Los Angeles Chargers (LAC)","1","0","1","1","0","0","0","1","3.0","3.0","44.3%"
"23","Dallas Cowboys (DAL)","1","0","0","1","0","0","0","1","2.0","2.0","82.9%"
"24","Jacksonville Jaguars (JAC)","3","0","0","0","0","0","0","1","2.0","2.0","6.9%"
"25","Arizona Cardinals (ARI)","1","0","0","1","0","0","0","1","1.0","1.0","60.9%"
"26","Las Vegas Raiders (LV)","0","0","0","0","0","0","0","0","0","0","7.6%"
"27","Tampa Bay Buccaneers (TB)","1","0","0","0","0","0","0","1","0.0","0.0","98.0%"
"28","Baltimore Ravens (BAL)","0","0","0","0","0","0","0","0","0","0","51.9%"
"29","Miami Dolphins (MIA)","0","0","0","1","0","0","0","1","0.0","0.0","60.2%"
"30","Chicago Bears (CHI)","0","0","0","0","0","0","0","1","-1.0","-1.0","35.9%"
"31","Houston Texans (HOU)","1","0","0","0","0","0","0","1","-3.0","-3.0","6.4%"
"32","Detroit Lions (DET)","0","0","0","0","0","0","0","1","-4.0","-4.0","1.1%"
""
""
