player,sacks_proj,ints_proj,frec,ff,defense_td,sfty,pts_against,yds_against,fantasy_points,team,position,week,year
Buffalo Bills,2.4,1.4,0.6,0.9,0.2,0.0,16.2,302.6,8.6,BUF,DST,10,2021
Arizona Cardinals,2.9,1.0,0.7,1.3,0.2,0.0,16.4,326.0,8.5,ARI,DST,10,2021
Baltimore Ravens,2.8,0.9,0.7,1.0,0.2,0.0,19.1,316.7,7.9,BAL,DST,10,2021
Pittsburgh Steelers,2.5,0.8,0.7,1.1,0.2,0.0,16.6,322.1,7.5,PIT,DST,10,2021
Indianapolis Colts,2.0,1.0,0.7,1.2,0.2,0.0,18.3,339.4,7.4,IND,DST,10,2021
Los Angeles Rams,2.7,1.0,0.7,1.1,0.2,0.0,22.1,347.4,7.3,LAR,DST,10,2021
Tampa Bay Buccaneers,2.3,1.2,0.7,1.1,0.2,0.0,20.4,314.6,7.1,TB,DST,10,2021
New Orleans Saints,2.6,0.9,0.6,0.8,0.1,0.0,22.4,339.8,6.5,NO,DST,10,2021
Carolina Panthers,2.5,0.9,0.7,0.9,0.1,0.0,24.5,326.1,6.4,CAR,DST,10,2021
Miami Dolphins,2.6,0.9,0.6,1.0,0.1,0.1,26.5,398.2,6.4,MIA,DST,10,2021
Cleveland Browns,2.2,0.9,0.6,0.8,0.2,0.0,23.2,327.8,6.2,CLE,DST,10,2021
New England Patriots,2.4,0.8,0.6,0.8,0.1,0.0,20.4,346.9,6.2,NE,DST,10,2021
Philadelphia Eagles,2.8,0.7,0.5,0.7,0.1,0.0,23.3,352.4,6.1,PHI,DST,10,2021
Green Bay Packers,2.9,0.7,0.5,0.7,0.1,0.0,21.7,331.1,6.1,GB,DST,10,2021
Dallas Cowboys,2.2,0.9,0.6,0.8,0.2,0.0,22.6,367.5,6.0,DAL,DST,10,2021
Kansas City Chiefs,2.1,0.8,0.6,0.8,0.2,0.0,25.2,390.1,5.9,KC,DST,10,2021
Tennessee Titans,2.2,0.8,0.5,0.8,0.2,0.0,20.2,317.0,5.8,TEN,DST,10,2021
Minnesota Vikings,2.1,0.8,0.6,0.9,0.1,0.0,26.3,386.3,5.7,MIN,DST,10,2021
Las Vegas Raiders,1.9,0.7,0.6,1.1,0.1,0.0,25.9,388.1,5.5,LV,DST,10,2021
Denver Broncos,2.1,0.7,0.5,0.7,0.1,0.0,20.8,323.3,5.3,DEN,DST,10,2021
Washington Commanders,1.8,0.7,0.6,1.0,0.1,0.0,29.6,387.1,5.2,WAS,DST,10,2021
Detroit Lions,1.8,0.8,0.5,0.8,0.1,0.0,23.5,336.9,5.2,DET,DST,10,2021
Los Angeles Chargers,2.0,0.6,0.6,0.8,0.1,0.0,24.2,374.5,5.2,LAC,DST,10,2021
San Francisco 49ers,1.9,0.7,0.5,0.9,0.1,0.0,25.6,367.4,5.1,SF,DST,10,2021
Atlanta Falcons,1.6,0.7,0.6,1.1,0.1,0.0,30.2,407.9,5.1,ATL,DST,10,2021
Jacksonville Jaguars,1.9,0.6,0.5,0.6,0.1,0.1,28.6,374.1,5.0,JAC,DST,10,2021
New York Jets,1.7,0.7,0.6,0.9,0.1,0.0,30.0,401.4,5.0,NYJ,DST,10,2021
Seattle Seahawks,2.0,0.5,0.5,0.8,0.1,0.0,25.1,357.5,4.7,SEA,DST,10,2021
