Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Jalen Hurts(PHI),24,44,54.5,338,7.7,3,0,6,11,63,1,0,1,37.8,37.8,94.4%
2,Josh Allen(BUF),28,40,70.0,359,9.0,2,0,1,3,33,2,0,1,37.7,37.7,100.0%
3,Ryan Tannehill(TEN),21,27,77.8,273,10.1,3,0,1,3,21,2,0,1,37.0,37.0,62.7%
4,Kyler Murray(ARI),27,36,75.0,406,11.3,3,1,1,8,29,1,1,1,34.1,34.1,99.3%
5,Lamar Jackson(BAL),17,22,77.3,243,11.0,3,1,1,10,35,1,0,1,30.2,30.2,94.0%
6,Justin Herbert(LAC),22,32,68.8,314,9.8,2,0,1,4,14,1,0,1,28.0,28.0,98.8%
7,Matt Ryan(ATL),34,49,69.4,356,7.3,3,0,3,1,16,0,0,1,27.8,27.8,36.3%
8,Marcus Mariota(LV),17,28,60.7,226,8.1,1,1,0,9,88,1,0,1,26.8,26.8,0.2%
9,Patrick Mahomes II(KC),26,47,55.3,254,5.4,3,0,4,7,37,0,1,1,25.9,25.9,100.0%
10,Deshaun Watson(HOU),33,41,80.5,373,9.1,2,0,5,6,25,0,1,1,23.4,23.4,5.0%
11,Tom Brady(FA),31,45,68.9,390,8.7,2,0,3,2,-2,0,0,1,23.4,23.4,99.1%
12,Baker Mayfield(CLE),27,32,84.4,297,9.3,2,0,1,4,11,0,0,1,21.0,21.0,26.4%
13,Drew Brees(FA),15,34,44.1,234,6.9,3,1,1,0,0,0,0,1,20.4,20.4,35.7%
14,Kirk Cousins(MIN),24,35,68.6,271,7.7,2,1,3,3,25,0,0,1,20.3,20.3,70.7%
15,Tua Tagovailoa(MIA),20,26,76.9,145,5.6,0,1,2,3,9,2,0,1,19.7,19.7,44.2%
16,Ryan Finley(FA),7,13,53.8,89,6.8,1,0,2,10,47,1,0,1,18.3,18.3,0.0%
17,Aaron Rodgers(GB),20,29,69.0,143,4.9,1,0,5,5,26,1,0,1,18.3,18.3,97.4%
18,Andy Dalton(CHI),19,33,57.6,209,6.3,2,0,2,2,8,0,0,1,17.2,17.2,1.6%
19,Philip Rivers(FA),22,28,78.6,228,8.1,2,0,1,1,-1,0,0,1,17.0,17.0,20.6%
20,Teddy Bridgewater(DEN),21,35,60.0,258,7.4,0,0,3,4,26,1,1,1,16.9,16.9,15.6%
21,Dwayne Haskins(PIT),38,55,69.1,295,5.4,1,2,4,3,28,0,0,1,16.6,16.6,0.1%
22,Jared Goff(DET),22,34,64.7,209,6.1,2,1,3,1,9,0,0,1,16.3,16.3,5.3%
23,Gardner Minshew II(PHI),22,29,75.9,226,7.8,2,0,5,2,9,0,1,1,15.9,15.9,2.2%
24,Matthew Stafford(LAR),22,32,68.8,252,7.9,1,0,0,2,12,0,0,1,15.3,15.3,97.2%
25,Mitchell Trubisky(BUF),15,21,71.4,202,9.6,1,1,1,8,34,0,0,1,14.5,14.5,0.4%
26,Sam Darnold(CAR),22,31,71.0,207,6.7,1,0,2,5,18,0,0,1,14.1,14.1,5.5%
27,Nick Mullens(CLE),21,36,58.3,219,6.1,2,2,2,1,7,0,1,1,13.5,13.5,0.3%
28,Russell Wilson(DEN),18,27,66.7,121,4.5,1,1,0,6,52,0,0,1,13.0,13.0,90.4%
29,Cam Newton(CAR),17,27,63.0,209,7.7,0,0,3,9,38,0,0,1,12.2,12.2,20.3%
30,Drew Lock(SEA),20,32,62.5,132,4.1,1,0,3,5,37,0,1,1,11.0,11.0,1.5%
31,Colt McCoy(ARI),19,31,61.3,221,7.1,0,0,1,2,3,0,0,1,9.1,9.1,0.4%
32,C.J. Beathard(JAC),5,7,71.4,100,14.3,1,0,0,0,0,0,0,1,8.0,8.0,0.0%
33,Ben Roethlisberger(FA),20,38,52.6,170,4.5,1,1,1,2,-1,0,1,1,7.7,7.7,23.8%
34,Taysom Hill(NO),0,0,0,0,0,0,0,0,2,3,1,0,1,6.3,6.3,53.2%
35,Chase Daniel(LAC),5,6,83.3,55,9.2,0,1,0,1,11,0,0,1,2.3,2.3,0.1%
36,Derek Carr(LV),3,5,60.0,53,10.6,0,0,1,0,0,0,0,1,2.1,2.1,58.1%
37,Tyler Huntley(BAL),2,4,50.0,7,1.8,0,0,0,4,18,0,0,1,2.1,2.1,28.7%
38,Jacoby Brissett(MIA),0,1,0.0,0,0.0,0,0,0,1,2,0,0,1,0.2,0.2,0.6%
39,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
41,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
42,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
45,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
46,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
47,Jake Browning(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
48,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
50,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,Jarrett Stidham(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,David Blough(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,John Lovett(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
57,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
59,Daniel Jones(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6%
60,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
61,Chris Streveler(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
65,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
66,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
