player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1,59,59,100,2,0,59,59,20.0,33.9,16,2013
Ben Roethlisberger,QB,PIT,1,62,62,86,0,0,56,56,7.4,11.9,16,2013
Chad Henne,QB,KC,1,6,6,9,33,0,33,33,0.0,0.0,16,2013
DeSean Jackson,WR,LV,1,36,36,52,0,14,11,14,4.4,12.2,16,2013
Jared Cook,TE,LAC,1,39,39,63,0,13,8,13,6.4,16.4,16,2013
Josh Johnson,QB,BAL,1,59,59,100,8,0,76,76,20.2,34.2,16,2013
Marcedes Lewis,TE,GB,1,25,25,42,0,12,8,12,0.2,0.8,16,2013
Matt Ryan,QB,ATL,1,46,46,100,9,0,61,61,13.1,28.5,16,2013
Matthew Stafford,QB,LAR,1,70,70,100,4,0,57,57,9.7,13.9,16,2013
Tom Brady,QB,TB,1,64,64,93,2,0,48,48,14.4,22.5,16,2013
Emmanuel Sanders,WR,BUF,1,65,65,82,0,6,3,6,2.0,3.1,16,2013
Jimmy Graham,TE,CHI,1,21,21,28,0,10,10,10,9.0,42.9,16,2013
Rob Gronkowski,TE,TB,1,60,60,87,0,3,2,3,2.3,3.8,16,2013
Antonio Brown,WR,TB,1,53,53,77,0,28,19,28,10.1,19.1,16,2013
A.J. Green,WR,ARI,1,56,56,86,0,5,2,5,3.3,5.9,16,2013
Blaine Gabbert,QB,TB,1,3,3,4,0,0,33,33,0.0,0.0,16,2013
Julio Jones,WR,TEN,1,31,31,50,0,3,3,3,0.7,2.3,16,2013
Cam Newton,QB,CAR,1,26,26,37,19,0,69,69,5.6,21.5,16,2013
Mark Ingram II,RB,NO,1,24,24,46,17,0,17,17,1.7,7.1,16,2013
Kyle Rudolph,TE,NYG,1,17,17,22,0,6,0,6,0.0,0.0,16,2013
Ryan Tannehill,QB,TEN,1,62,62,100,5,0,52,52,14.6,23.5,16,2013
Nick Foles,QB,CHI,1,74,74,100,5,0,53,53,16.8,22.7,16,2013
Kirk Cousins,QB,MIN,1,63,63,100,6,0,67,67,17.3,27.5,16,2013
Russell Wilson,QB,SEA,1,56,56,100,4,0,52,52,16.5,29.5,16,2013
T.Y. Hilton,WR,IND,1,47,47,67,0,11,9,11,11.1,23.6,16,2013
Marvin Jones Jr.,WR,JAC,1,60,60,82,0,22,13,22,7.4,12.3,16,2013
Brandon Bolden,RB,NE,1,34,34,53,6,15,12,21,2.4,7.1,16,2013
Josh Gordon,WR,KC,1,8,8,12,0,38,0,38,0.0,0.0,16,2013
Marquise Goodwin,WR,CHI,1,23,23,31,0,9,9,9,2.3,10.0,16,2013
Kenny Stills,WR,NO,1,17,17,33,0,6,6,6,0.4,2.4,16,2013
Cordarrelle Patterson,RB,ATL,1,25,25,54,28,8,32,36,7.3,29.2,16,2013
Keenan Allen,WR,LAC,1,55,55,89,0,11,7,11,3.5,6.4,16,2013
Tavon Austin,WR,JAC,1,43,43,59,7,16,21,23,8.9,20.7,16,2013
Le'Veon Bell,RB,TB,1,3,3,4,67,0,67,67,-0.1,-3.3,16,2013
Rex Burkhead,RB,HOU,1,42,42,62,52,5,57,57,26.9,64.0,16,2013
Mike Glennon,QB,NYG,1,36,36,47,6,0,81,81,7.8,21.7,16,2013
Zach Ertz,TE,ARI,1,63,63,97,0,21,13,21,5.4,8.6,16,2013
Kyle Juszczyk,RB,SF,1,32,32,54,0,16,9,16,4.5,14.1,16,2013
Latavius Murray,RB,BAL,1,17,17,29,29,6,35,35,2.4,14.1,16,2013
Demetrius Harris,TE,ARI,1,21,21,32,0,5,5,5,0.3,1.4,16,2013
Derek Carr,QB,LV,1,69,69,100,10,0,46,46,9.5,13.8,16,2013
Devonta Freeman,RB,BAL,1,33,33,56,18,6,24,24,8.0,24.2,16,2013
Davante Adams,WR,GB,1,55,55,93,0,24,18,24,23.4,42.5,16,2013
Odell Beckham Jr.,WR,LAR,1,64,64,91,0,13,6,13,9.7,15.2,16,2013
Jarvis Landry,WR,CLE,1,54,54,79,0,13,7,13,5.5,10.2,16,2013
Jimmy Garoppolo,QB,SF,1,59,59,100,2,0,61,61,15.2,25.8,16,2013
Damien Williams,RB,CHI,1,9,9,12,11,22,22,33,1.4,15.6,16,2013
Keith Smith,RB,ATL,1,12,12,26,0,0,0,0,0.0,0.0,16,2013
Adam Thielen,WR,MIN,1,23,23,37,0,13,13,13,4.0,17.4,16,2013
Cameron Brate,TE,TB,1,31,31,45,0,13,6,13,7.1,22.9,16,2013
Diontae Spencer,WR,DEN,1,1,1,2,0,0,0,0,0.0,0.0,16,2013
Amari Cooper,WR,DAL,1,52,52,71,0,21,13,21,14.5,27.9,16,2013
DeVante Parker,WR,MIA,1,46,46,71,0,0,0,0,0.0,0.0,16,2013
Melvin Gordon III,RB,DEN,1,23,23,55,30,4,35,35,0.0,0.0,16,2013
Ameer Abdullah,RB,CAR,1,23,23,33,9,26,22,35,0.9,3.9,16,2013
Tevin Coleman,RB,NYJ,1,19,19,33,74,5,79,79,6.1,32.1,16,2013
Taylor Heinicke,QB,WAS,1,43,43,72,2,0,53,53,6.7,15.6,16,2013
