,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Jonathan TaylorIND,20.5,101.3,0.8,2.6,21.3,0.1,0.1,17.5
1,James ConnerARI,16.0,62.0,1.0,3.0,24.0,0.0,0.0,14.6
2,Nick ChubbCLE,17.0,84.6,0.6,2.0,15.5,0.1,0.1,13.8
3,Alvin KamaraNO,15.4,62.4,0.5,4.1,35.0,0.2,0.1,13.5
4,Alexander MattisonMIN,19.7,73.8,0.5,2.9,22.9,0.1,0.1,13.3
5,Najee HarrisPIT,16.7,66.0,0.5,4.2,30.3,0.1,0.1,13.2
6,Cordarrelle PattersonATL,13.9,61.3,0.5,3.0,29.2,0.2,0.1,12.9
7,David MontgomeryCHI,17.2,65.9,0.5,3.5,25.1,0.1,0.1,12.3
8,Josh JacobsLV,15.2,60.7,0.5,3.9,28.8,0.1,0.1,12.3
9,Justin JacksonLAC,14.0,63.6,0.5,2.3,18.0,0.1,0.1,11.4
10,Damien HarrisNE,16.0,72.2,0.6,1.1,8.3,0.0,0.1,11.4
11,Antonio GibsonWAS,14.3,60.1,0.5,3.1,22.6,0.1,0.1,11.4
12,Javonte WilliamsDEN,12.9,58.9,0.4,2.6,21.8,0.1,0.1,11.3
13,Ezekiel ElliottDAL,13.0,54.8,0.6,2.5,18.5,0.1,0.1,11.1
14,Jeff Wilson Jr.SF,15.6,62.6,0.5,1.5,12.5,0.1,0.2,10.7
15,Michael CarterNYJ,12.2,49.7,0.5,2.6,22.7,0.1,0.1,10.5
16,Sony MichelLAR,13.8,60.9,0.5,1.5,11.9,0.1,0.1,10.3
17,Rashaad PennySEA,13.0,60.8,0.5,0.9,7.9,0.0,0.1,10.1
18,Saquon BarkleyNYG,12.7,53.4,0.2,3.4,24.4,0.1,0.1,9.7
19,Melvin Gordon IIIDEN,13.8,58.3,0.4,1.4,10.7,0.1,0.1,9.4
20,D'Onta ForemanTEN,14.3,57.2,0.4,1.2,9.9,0.0,0.1,9.3
21,Devonta FreemanBAL,11.6,50.1,0.4,2.3,16.9,0.1,0.1,9.2
22,AJ DillonGB,12.5,49.7,0.4,1.7,14.1,0.1,0.1,9.1
23,Devin SingletaryBUF,12.9,56.4,0.2,2.7,17.3,0.1,0.1,8.7
24,Rex BurkheadHOU,12.1,47.8,0.2,2.2,18.6,0.1,0.1,8.4
25,Craig ReynoldsDET,12.2,46.5,0.3,1.7,14.6,0.1,0.1,8.2
26,Jamaal WilliamsDET,10.4,46.8,0.2,2.3,15.6,0.1,0.1,7.9
27,Darrel WilliamsKC,6.7,25.7,0.4,2.5,22.1,0.1,0.1,7.3
28,Myles GaskinMIA,10.0,36.2,0.2,2.4,15.8,0.1,0.1,6.6
29,Chuba HubbardCAR,10.7,42.2,0.2,1.1,8.5,0.0,0.1,6.5
30,Duke Johnson Jr.MIA,9.5,38.0,0.2,1.7,13.8,0.1,0.1,6.4
31,Mike DavisATL,8.5,30.9,0.2,2.7,19.6,0.1,0.1,6.4
32,Dontrell HilliardTEN,6.0,30.4,0.2,2.3,17.3,0.1,0.1,6.0
33,Brandon BoldenNE,4.6,18.8,0.1,3.3,28.4,0.1,0.1,5.7
34,Tevin ColemanNYJ,8.1,33.4,0.2,1.1,9.2,0.0,0.1,5.5
35,Devontae BookerNYG,7.9,32.1,0.1,1.7,12.1,0.0,0.1,5.1
36,Latavius MurrayBAL,8.9,33.0,0.2,1.0,7.3,0.0,0.1,5.1
37,Ameer AbdullahCAR,4.9,18.1,0.1,2.8,22.1,0.1,0.1,5.1
38,Joshua KelleyLAC,7.9,29.6,0.2,1.1,9.2,0.1,0.2,4.9
39,Alex CollinsSEA,6.3,25.8,0.3,0.4,3.3,0.0,0.0,4.6
40,DeeJay DallasSEA,5.1,20.9,0.2,1.7,11.8,0.0,0.0,4.4
41,Royce FreemanHOU,7.3,27.4,0.1,1.1,8.3,0.0,0.0,4.3
42,D'Ernest JohnsonCLE,5.0,22.1,0.1,1.5,12.1,0.0,0.0,4.3
43,Nyheim HinesIND,3.4,14.3,0.1,2.3,17.9,0.1,0.1,4.1
44,Samaje PerineCIN,5.1,19.9,0.1,1.3,10.5,0.1,0.0,3.9
45,Ty JohnsonNYJ,2.9,12.5,0.1,1.7,15.5,0.1,0.0,3.8
46,Zack MossBUF,4.9,20.9,0.1,1.0,8.4,0.0,0.0,3.8
47,Eno BenjaminARI,4.7,17.9,0.2,0.7,6.1,0.0,0.0,3.5
48,Kenneth GainwellPHI,1.9,9.1,0.1,1.6,15.1,0.1,0.0,3.4
49,Peyton BarberLV,5.0,19.5,0.1,0.8,7.0,0.0,0.0,3.4
50,Jaret PattersonWAS,5.3,21.3,0.1,0.8,5.9,0.0,0.0,3.3
51,Ke'Shawn VaughnTB,3.6,14.4,0.1,1.3,9.6,0.1,0.0,3.2
52,J.J. TaylorNE,4.6,18.9,0.1,0.5,4.3,0.0,0.1,3.1
53,Kene NwangwuMIN,4.6,17.0,0.1,0.7,5.1,0.0,0.0,3.0
54,Travis HomerSEA,2.4,12.1,0.1,1.0,8.3,0.1,0.0,2.8
55,JaMycal HastySF,3.3,12.4,0.1,1.2,9.8,0.0,0.1,2.6
56,Khalil HerbertCHI,3.7,14.1,0.1,1.1,8.0,0.0,0.0,2.5
57,Derrick GoreKC,2.4,13.9,0.1,0.3,2.6,0.0,0.0,2.4
58,Larry Rountree IIILAC,3.1,11.3,0.1,0.4,3.6,0.0,0.0,2.4
59,Wayne Gallman Jr.MIN,3.3,13.6,0.1,0.5,3.2,0.0,0.0,2.3
60,Ty MontgomeryNO,0.9,4.4,0.0,1.2,13.0,0.1,0.0,2.3
61,Qadree OllisonATL,3.4,13.2,0.1,0.6,4.1,0.0,0.0,2.3
62,Kyle JuszczykSF,0.6,1.9,0.0,1.4,13.8,0.1,0.0,2.2
63,Dare OgunbowaleJAC,2.6,9.8,0.1,0.9,7.6,0.0,0.0,2.2
64,Jonathan WilliamsWAS,3.4,12.1,0.1,0.4,3.6,0.0,0.0,2.1
65,Godwin IgwebuikeDET,1.6,8.8,0.1,0.9,7.6,0.0,0.0,2.1
66,Brian HillSF,3.1,11.8,0.1,0.4,3.4,0.0,0.0,2.0
67,Jaylen SamuelsARI,2.0,7.9,0.0,1.1,7.6,0.0,0.0,1.9
68,Chris EvansCIN,1.2,3.9,0.0,0.8,8.6,0.0,0.0,1.8
69,Phillip LindsayMIA,2.4,9.1,0.1,0.4,2.3,0.0,0.0,1.7
70,Darius BradwellCAR,0.0,9.2,0.1,0.5,2.0,0.0,0.0,1.6
71,Trevon WescoNYJ,0.0,0.0,0.0,1.1,11.8,0.1,0.0,1.6
72,Jalen RichardLV,1.5,5.2,0.0,1.2,9.0,0.0,0.0,1.6
73,Demetric FeltonCLE,1.1,3.1,0.0,0.8,8.9,0.1,0.0,1.6
74,Malcolm BrownMIA,2.2,7.7,0.1,0.3,2.3,0.0,0.0,1.6
75,Jake FunkLAR,1.2,8.3,0.1,0.4,2.5,0.0,0.0,1.5
76,Damien WilliamsCHI,1.5,7.5,0.1,0.5,3.8,0.0,0.0,1.5
77,Trey SermonSF,2.1,8.2,0.1,0.1,0.8,0.0,0.0,1.5
78,Patrick Taylor Jr.GB,1.4,7.5,0.1,0.3,2.5,0.0,0.0,1.4
79,Reggie BonnafonWAS,1.2,7.6,0.0,0.4,3.5,0.0,0.0,1.3
80,Adam PrenticeNO,0.1,0.4,0.0,1.0,9.9,0.0,0.0,1.3
81,Salvon AhmedMIA,1.7,8.0,0.0,0.4,2.5,0.0,0.0,1.3
82,Benny Snell Jr.PIT,2.0,7.8,0.0,0.3,2.3,0.0,0.0,1.2
83,Corey ClementDAL,1.7,7.6,0.0,0.3,2.3,0.0,0.0,1.2
84,Mike BooneDEN,1.4,7.7,0.1,0.2,1.1,0.0,0.0,1.2
85,Tony Jones Jr.NO,1.9,6.8,0.0,0.4,3.7,0.0,0.0,1.2
86,Ty'Son WilliamsBAL,1.2,4.9,0.0,0.2,1.7,0.0,0.0,0.9
87,C.J. HamMIN,0.5,1.4,0.0,0.6,4.8,0.0,0.0,0.8
88,Michael BurtonKC,0.5,2.1,0.0,0.3,2.4,0.0,0.0,0.7
89,Deon JacksonIND,1.1,4.3,0.0,0.3,1.9,0.0,0.0,0.7
90,Elijhaa PennyNYG,1.1,3.7,0.0,0.2,0.6,0.0,0.0,0.7
91,Kalen BallagePIT,1.2,3.9,0.0,0.3,1.5,0.0,0.0,0.6
92,Nick BawdenNYJ,0.4,0.7,0.0,0.6,4.9,0.0,0.0,0.6
93,Trey EdmundsPIT,0.0,3.5,0.0,0.2,0.1,0.0,0.0,0.5
94,Keith SmithATL,0.6,1.3,0.0,0.3,3.0,0.0,0.0,0.5
95,JaQuan HardyDAL,0.6,3.0,0.0,0.2,2.0,0.0,0.0,0.5
96,Dwayne WashingtonNO,1.0,4.1,0.0,0.1,0.5,0.0,0.0,0.5
97,Andy JanovichCLE,0.3,0.1,0.1,0.3,1.5,0.0,0.0,0.5
98,Derek WattPIT,0.2,1.2,0.0,0.2,1.5,0.0,0.0,0.4
99,Gabe NabersLAC,0.2,1.0,0.0,0.2,1.7,0.0,0.0,0.3
100,Khari BlasingameTEN,0.0,1.4,0.0,0.1,0.7,0.0,0.0,0.3
101,Jakob JohnsonNE,0.0,0.1,0.0,0.3,2.6,0.0,0.0,0.3
102,Nathan CottrellJAC,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.3
103,Alex Armah Jr.WAS,0.3,1.0,0.0,0.2,2.0,0.0,0.0,0.3
104,Taiwan JonesBUF,0.2,0.7,0.0,0.2,1.4,0.0,0.0,0.3
105,Giovanni RicciCAR,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
106,Nick BelloreSEA,0.0,0.1,0.0,0.2,1.0,0.0,0.0,0.2
107,Reggie GilliamBUF,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1
108,Cullen GillaspiaNYG,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.1
