Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Kyler Murray(ARI),29,36,80.6,400,11.1,3,2,3,5,31,1,0,1,35.1,35.1,99.3%
2,Lamar Jackson(BAL),18,26,69.2,239,9.2,1,2,1,16,107,2,0,1,34.3,34.3,94.0%
3,Tom Brady(FA),24,36,66.7,276,7.7,5,0,3,1,6,0,1,1,29.6,29.6,99.1%
4,Daniel Jones(NYG),22,32,68.8,249,7.8,1,0,4,9,95,1,0,1,29.5,29.5,13.6%
5,Aaron Rodgers(GB),22,27,81.5,255,9.4,4,0,3,4,6,0,0,1,26.8,26.8,97.4%
6,Kirk Cousins(MIN),22,32,68.8,244,7.6,3,0,1,2,35,0,0,1,25.3,25.3,70.7%
7,Patrick Mahomes II(KC),24,31,77.4,343,11.1,3,1,0,1,3,0,0,1,25.0,25.0,100.0%
8,Derek Carr(LV),28,37,75.7,382,10.3,2,0,2,4,9,0,0,1,24.2,24.2,58.1%
9,Russell Wilson(DEN),22,31,71.0,343,11.1,2,0,3,3,16,0,0,1,23.3,23.3,90.4%
10,Jalen Hurts(PHI),12,23,52.2,190,8.3,0,0,2,10,82,1,0,1,21.8,21.8,94.4%
11,Teddy Bridgewater(DEN),26,34,76.5,328,9.6,2,0,3,4,1,0,0,1,21.2,21.2,15.6%
12,Taylor Heinicke(WAS),34,46,73.9,336,7.3,2,1,1,4,6,0,0,1,21.0,21.0,21.2%
13,Sam Darnold(CAR),26,38,68.4,305,8.0,2,1,2,1,7,0,0,1,19.9,19.9,5.5%
14,Jimmy Garoppolo(SF),22,30,73.3,189,6.3,1,0,0,11,20,1,0,1,19.6,19.6,23.3%
15,Jared Goff(DET),26,36,72.2,246,6.8,2,1,1,4,46,0,1,1,19.4,19.4,5.3%
16,Matt Ryan(ATL),35,46,76.1,300,6.5,2,3,1,2,3,0,0,1,19.3,19.3,36.3%
17,Carson Wentz(WAS),20,31,64.5,247,8.0,1,1,3,5,37,0,0,1,18.6,18.6,44.0%
18,Baker Mayfield(CLE),19,21,90.5,213,10.1,1,1,2,8,10,1,0,1,18.5,18.5,26.4%
19,Matthew Stafford(LAR),19,30,63.3,278,9.3,2,1,1,2,1,0,0,1,18.2,18.2,97.2%
20,Josh Allen(BUF),17,33,51.5,179,5.4,2,1,1,5,35,0,0,1,17.7,17.7,100.0%
21,Justin Herbert(LAC),31,41,75.6,338,8.2,1,2,2,4,12,0,0,1,16.7,16.7,98.8%
22,Tyrod Taylor(HOU),10,11,90.9,125,11.4,1,0,0,1,15,1,0,1,16.5,16.5,4.9%
23,Ben Roethlisberger(FA),27,40,67.5,295,7.4,1,1,2,0,0,0,0,1,14.8,14.8,23.8%
24,Ryan Tannehill(TEN),27,40,67.5,347,8.7,0,0,3,4,27,0,1,1,14.6,14.6,62.7%
25,Joe Burrow(CIN),19,30,63.3,207,6.9,2,3,5,0,0,0,0,1,13.3,13.3,88.3%
26,Jameis Winston(NO),11,22,50.0,111,5.0,0,2,4,3,19,1,0,1,10.3,10.3,5.2%
27,Trevor Lawrence(JAC),14,33,42.4,118,3.6,1,2,1,2,21,0,0,1,8.8,8.8,23.9%
28,Andy Dalton(CHI),9,11,81.8,56,5.1,1,0,1,2,25,0,0,1,8.7,8.7,1.6%
29,Dak Prescott(DAL),23,27,85.2,237,8.8,0,1,2,0,0,0,0,1,8.5,8.5,98.2%
30,Mac Jones(NE),22,30,73.3,186,6.2,0,0,3,0,0,0,0,1,7.4,7.4,28.5%
31,Davis Mills(HOU),8,18,44.4,102,5.7,1,1,1,2,-1,0,0,1,7.0,7.0,3.7%
32,Jacoby Brissett(MIA),24,40,60.0,169,4.2,0,1,4,4,8,0,0,1,6.6,6.6,0.6%
33,Zach Wilson(NYJ),19,33,57.6,210,6.4,0,4,4,3,19,0,0,1,6.3,6.3,6.6%
34,Justin Fields(CHI),6,13,46.2,60,4.6,0,1,2,10,31,0,0,1,4.5,4.5,21.0%
35,Taysom Hill(NO),0,0,0,0,0,0,0,0,2,16,0,0,1,1.6,1.6,53.2%
36,Tua Tagovailoa(MIA),1,4,25.0,13,3.3,0,0,2,0,0,0,0,1,0.5,0.5,44.2%
37,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
40,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
42,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
43,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
46,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
