Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Mike Evans(TB),8,15,190,23.8,55,4,3,0,0,0,0,1,37.0,37.0,97.8%
2,Keenan Allen(LAC),13,17,183,14.1,34,3,2,1,3,0,0,1,30.6,30.6,99.3%
3,Taylor Gabriel(FA),6,7,75,12.5,36,1,3,1,7,0,0,1,26.2,26.2,0.1%
4,Cooper Kupp(LAR),11,12,101,9.2,22,2,2,0,0,0,0,1,22.1,22.1,100.0%
5,Tyler Lockett(SEA),11,14,154,14.0,40,3,1,0,0,0,0,1,21.4,21.4,97.5%
6,Amari Cooper(DAL),6,7,88,14.7,37,1,2,0,0,0,0,1,20.8,20.8,97.7%
7,Sterling Shepard(NYG),7,9,100,14.3,36,2,1,2,21,0,0,1,20.1,20.1,23.7%
8,Julio Jones(TEN),8,9,128,16.0,34,2,1,0,0,0,0,1,18.8,18.8,60.7%
9,Adam Thielen(MIN),3,5,55,18.3,35,1,1,1,1,1,0,1,17.6,17.6,82.7%
10,Mecole Hardman(KC),2,5,97,48.5,83,1,1,1,7,0,0,1,16.4,16.4,29.2%
11,Marvin Jones Jr.(JAC),6,9,101,16.8,27,2,1,0,0,0,0,1,16.1,16.1,55.4%
12,Marquez Valdes-Scantling(GB),6,10,99,16.5,40,2,1,0,0,0,0,1,15.9,15.9,36.0%
13,Nelson Agholor(NE),8,12,50,6.3,20,1,2,0,0,0,1,1,15.0,15.0,13.6%
14,Paul Richardson Jr.(FA),8,9,83,10.4,22,1,1,0,0,0,0,1,14.3,14.3,0.0%
15,JuJu Smith-Schuster(FA),3,7,81,27.0,76,1,1,0,0,0,0,1,14.1,14.1,18.5%
16,D.J. Chark Jr.(JAC),4,5,76,19.0,37,2,1,0,0,0,0,1,13.6,13.6,17.9%
17,Terry McLaurin(WAS),6,8,70,11.7,17,0,1,0,0,0,0,1,13.0,13.0,97.0%
18,Phillip Dorsett II(HOU),6,7,53,8.8,25,1,1,2,12,0,0,1,12.5,12.5,0.0%
19,T.Y. Hilton(IND),8,10,65,8.1,26,1,1,0,0,0,0,1,12.5,12.5,16.8%
20,DJ Moore(CAR),1,2,52,52.0,52,1,1,1,12,0,0,1,12.4,12.4,95.7%
21,Julian Edelman(FA),7,10,62,8.9,15,0,1,0,0,0,0,1,12.2,12.2,13.1%
