,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Josh Allen(BUF),23,28,82.1,260,9.3,4,2,2,8,43,0,0,1,28.7,28.7,100.0%
1,2,Aaron Rodgers(GB),28,45,62.2,307,6.8,2,0,1,2,0,1,0,1,26.3,26.3,97.4%
2,3,Dak Prescott(DAL),32,47,68.1,375,8.0,2,0,1,1,3,0,0,1,25.3,25.3,98.2%
3,4,Matthew Stafford(LAR),21,38,55.3,302,7.9,3,1,2,1,-1,0,1,1,23.0,23.0,97.2%
4,5,Carson Wentz(IND),27,44,61.4,306,7.0,3,2,3,3,21,0,1,1,22.3,22.3,44.0%
5,6,Justin Herbert(LAC),28,44,63.6,303,6.9,2,2,3,4,36,0,0,1,21.7,21.7,98.8%
6,7,Mac Jones(NE),23,32,71.9,310,9.7,2,0,2,2,11,0,0,1,21.5,21.5,28.5%
7,8,Derek Carr(LV),24,39,61.5,373,9.6,1,0,3,2,21,0,0,1,21.0,21.0,58.1%
8,9,Russell Wilson(SEA),20,31,64.5,247,8.0,2,0,2,2,16,0,0,1,19.5,19.5,90.4%
9,10,Trevor Lawrence(JAC),23,42,54.8,228,5.4,1,1,1,5,39,0,0,1,18.0,18.0,23.9%
10,11,Joe Burrow(CIN),20,24,83.3,190,7.9,1,1,2,1,8,1,0,1,17.4,17.4,88.3%
11,12,Andy Dalton(CHI),24,39,61.5,317,8.1,1,1,1,6,11,0,0,1,16.8,16.8,1.6%
12,13,Kirk Cousins(MIN),20,32,62.5,238,7.4,2,1,1,0,0,0,0,1,16.5,16.5,70.7%
13,14,Tyrod Taylor(HOU),17,26,65.4,158,6.1,2,1,5,2,30,0,0,1,16.3,16.3,4.9%
14,15,Teddy Bridgewater(DEN),11,18,61.1,129,7.2,1,0,0,2,10,1,0,1,16.2,16.2,15.6%
15,16,Daniel Jones(NYG),19,30,63.3,202,6.7,1,0,1,9,30,0,0,1,15.1,15.1,13.6%
16,17,Lamar Jackson(BAL),20,32,62.5,165,5.2,1,4,2,17,68,0,0,1,13.4,13.4,94.0%
17,18,Tua Tagovailoa(MIA),27,31,87.1,230,7.4,1,0,2,4,0,0,0,1,13.2,13.2,44.2%
18,19,Jared Goff(DET),21,25,84.0,171,6.8,2,0,1,0,0,0,1,1,12.8,12.8,5.3%
19,20,Baker Mayfield(CLE),18,37,48.6,247,6.7,1,0,2,2,4,0,1,1,12.3,12.3,26.4%
20,21,Taylor Heinicke(WAS),27,35,77.1,223,6.4,1,1,1,4,3,0,0,1,12.2,12.2,21.2%
21,22,Tom Brady(FA),25,34,73.5,226,6.6,1,1,2,2,2,0,0,1,12.2,12.2,99.1%
22,23,Jimmy Garoppolo(SF),17,26,65.4,230,8.8,1,1,2,3,0,0,0,1,12.2,12.2,23.3%
23,24,Matt Ryan(ATL),19,29,65.5,190,6.6,1,1,1,4,6,0,0,1,11.2,11.2,36.3%
24,25,Zach Wilson(NYJ),14,24,58.3,145,6.0,0,1,4,2,3,1,0,1,11.1,11.1,6.6%
25,26,Ben Roethlisberger(FA),24,41,58.5,263,6.4,1,2,3,0,0,0,1,1,10.5,10.5,23.8%
26,27,Jalen Hurts(PHI),14,31,45.2,129,4.2,0,3,1,8,77,0,0,1,9.9,9.9,94.4%
27,28,Trevor Siemian(NO),17,29,58.6,163,5.6,1,1,2,3,3,0,0,1,9.8,9.8,1.1%
28,29,Ryan Tannehill(TEN),11,21,52.4,93,4.4,1,1,2,5,24,0,0,1,9.1,9.1,62.7%
29,30,Cam Newton(CAR),5,21,23.8,92,4.4,0,2,1,3,5,1,0,1,8.2,8.2,20.3%
