Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Alvin Kamara(NO),22,155,7.0,40,0,6,3,5,17,5.7,0,0,1,53.2,53.2,100.0%
2,Myles Gaskin(MIA),14,87,6.2,24,0,0,5,5,82,16.4,2,0,1,28.9,28.9,83.2%
3,Jeff Wilson Jr.(SF),22,183,8.3,34,0,0,1,2,21,21.0,1,0,1,26.4,26.4,56.1%
4,David Johnson(HOU),12,128,10.7,48,0,1,3,3,11,3.7,1,0,1,25.9,25.9,35.4%
5,Samaje Perine(CIN),13,95,7.3,46,0,2,4,4,41,10.3,0,0,1,25.6,25.6,15.2%
6,AJ Dillon(GB),21,124,5.9,30,0,2,1,1,5,5.0,0,0,1,24.9,24.9,87.4%
7,Jonathan Taylor(IND),18,74,4.1,18,0,2,0,1,0,0,0,0,1,19.4,19.4,100.0%
8,David Montgomery(CHI),23,95,4.1,26,0,1,2,2,26,13.0,0,0,1,18.1,18.1,98.7%
9,J.D. McKissic(WAS),4,15,3.8,9,0,0,8,10,77,9.6,1,0,1,15.2,15.2,32.9%
10,Dalvin Cook(MIN),15,73,4.9,15,0,1,2,2,12,6.0,0,0,1,14.5,14.5,100.0%
11,Miles Sanders(PHI),15,57,3.8,7,0,1,4,6,27,6.8,0,0,1,14.4,14.4,77.0%
12,Ezekiel Elliott(DAL),19,105,5.5,31,0,0,4,4,34,8.5,0,0,1,13.9,13.9,99.7%
13,J.K. Dobbins(BAL),11,77,7.0,25,0,1,0,1,0,0,0,0,1,13.7,13.7,10.3%
14,Kyle Juszczyk(SF),1,3,3.0,3,0,0,2,3,10,5.0,2,0,1,13.3,13.3,1.0%
15,Giovani Bernard(TB),16,65,4.1,11,0,0,7,8,66,9.4,0,0,1,13.1,13.1,5.4%
16,Austin Ekeler(LAC),10,45,4.5,23,0,0,3,3,23,7.7,1,0,1,12.8,12.8,99.9%
17,Nick Chubb(CLE),11,28,2.5,16,0,1,5,5,38,7.6,0,0,1,12.6,12.6,99.8%
18,James Conner(ARI),5,21,4.2,12,0,1,5,5,45,9.0,0,0,1,12.6,12.6,94.6%
19,Leonard Fournette(TB),9,34,3.8,8,0,1,3,3,32,10.7,0,0,1,12.6,12.6,74.8%
20,Gus Edwards(BAL),15,85,5.7,32,0,0,2,2,37,18.5,0,0,1,12.2,12.2,9.6%
21,Zack Moss(BUF),12,57,4.8,12,0,1,1,1,0,0.0,0,0,1,11.7,11.7,36.8%
22,Kareem Hunt(CLE),4,11,2.8,6,0,1,3,5,41,13.7,0,0,1,11.2,11.2,82.1%
23,Kenyan Drake(LV),18,45,2.5,10,0,1,2,2,5,2.5,0,0,1,11.0,11.0,29.4%
24,Aaron Jones(GB),10,94,9.4,59,0,0,2,3,14,7.0,0,0,1,10.8,10.8,98.9%
25,Derrick Henry(TEN),23,98,4.3,10,0,0,0,0,0,0,0,0,1,9.8,9.8,78.0%
26,Latavius Murray(BAL),12,72,6.0,21,0,0,3,3,24,8.0,0,0,1,9.6,9.6,22.2%
27,Mike Davis(ATL),14,28,2.0,7,0,1,0,0,0,0,0,0,1,8.8,8.8,49.7%
28,Artavis Pierce(FA),2,26,13.0,23,0,1,0,0,0,0,0,0,1,8.6,8.6,0.0%
29,Melvin Gordon III(DEN),16,79,4.9,17,0,0,0,0,0,0,0,0,1,7.9,7.9,87.8%
30,Chris Carson(SEA),16,69,4.3,15,0,0,3,3,10,3.3,0,0,1,7.9,7.9,31.7%
31,Dare Ogunbowale(JAC),14,71,5.1,25,0,0,3,5,7,2.3,0,0,1,7.8,7.8,31.1%
32,Darrel Williams(KC),10,46,4.6,11,0,0,4,6,27,6.8,0,0,1,7.3,7.3,79.6%
33,Sony Michel(LAR),10,69,6.9,29,0,0,0,0,0,0,0,0,1,6.9,6.9,89.4%
34,Antonio Gibson(WAS),10,61,6.1,22,0,0,3,4,8,2.7,0,0,1,6.9,6.9,95.9%
35,Ke'Shawn Vaughn(TB),15,62,4.1,14,0,0,1,2,7,7.0,0,0,1,6.9,6.9,7.8%
36,Josh Jacobs(LV),13,69,5.3,15,0,0,0,2,0,0,0,0,1,6.9,6.9,98.0%
37,Nyheim Hines(IND),8,44,5.5,11,0,0,4,4,20,5.0,0,0,1,6.4,6.4,44.8%
38,Mike Boone(DEN),1,4,4.0,4,0,1,0,0,0,0,0,0,1,6.4,6.4,1.5%
39,Darrell Henderson Jr.(LAR),12,62,5.2,23,0,0,0,0,0,0,0,0,1,6.2,6.2,76.0%
40,Brian Hill(SF),7,36,5.1,17,0,0,3,3,25,8.3,0,0,1,6.1,6.1,0.1%
41,Wayne Gallman Jr.(MIN),6,27,4.5,9,0,0,2,2,26,13.0,0,0,1,5.3,5.3,1.0%
42,Frank Gore(FA),14,48,3.4,7,0,0,1,1,5,5.0,0,0,1,5.3,5.3,12.2%
43,Devin Singletary(BUF),10,36,3.6,11,0,0,2,2,16,8.0,0,0,1,5.2,5.2,89.1%
44,Ito Smith(DAL),10,46,4.6,14,0,0,1,1,5,5.0,0,0,1,5.1,5.1,0.0%
45,Todd Gurley II(FA),4,16,4.0,6,0,0,3,3,34,11.3,0,0,1,5.0,5.0,0.4%
46,D'Andre Swift(DET),10,45,4.5,14,0,0,4,5,25,6.3,0,1,1,5.0,5.0,97.2%
47,La'Mical Perine(NYJ),9,30,3.3,9,0,0,1,2,14,14.0,0,0,1,4.4,4.4,0.2%
48,Le'Veon Bell(FA),7,30,4.3,11,0,0,1,3,9,9.0,0,0,1,3.9,3.9,5.4%
49,Rodney Smith(FA),7,23,3.3,7,0,0,2,2,15,7.5,0,0,1,3.8,3.8,0.1%
50,J.J. Taylor(NE),6,38,6.3,28,0,0,0,0,0,0,0,0,1,3.8,3.8,0.7%
51,James White(NE),4,14,3.5,8,0,0,3,3,23,7.7,0,0,1,3.7,3.7,7.9%
52,Malcolm Brown(MIA),7,27,3.9,12,0,0,1,3,8,8.0,0,0,1,3.5,3.5,3.6%
53,Jerick McKinnon(KC),1,4,4.0,4,0,0,3,4,28,9.3,0,0,1,3.2,3.2,0.8%
54,Carlos Hyde(JAC),2,8,4.0,6,0,0,1,1,18,18.0,0,0,1,2.6,2.6,6.9%
55,Kalen Ballage(PIT),4,14,3.5,5,0,0,2,3,12,6.0,0,0,1,2.6,2.6,0.1%
56,Royce Freeman(HOU),2,16,8.0,10,0,0,2,2,7,3.5,0,0,1,2.3,2.3,5.2%
