,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,Pittsburgh Steelers,3.4,1.0,0.7,1.0,0.2,0.0,19.0,305.6,8.8
1,Los Angeles Rams,3.1,0.9,0.6,0.8,0.2,0.0,19.5,328.1,8.2
2,Indianapolis Colts,2.4,1.1,0.6,0.9,0.2,0.1,19.7,331.1,8.2
3,Buffalo Bills,2.0,1.2,0.6,1.0,0.2,0.0,15.5,307.3,7.9
4,Cincinnati Bengals,2.4,0.9,0.6,0.8,0.2,0.0,19.9,342.4,7.2
5,Seattle Seahawks,2.1,1.0,0.5,0.7,0.1,0.0,18.3,356.7,7.0
6,San Francisco 49ers,2.7,0.9,0.6,0.9,0.1,0.0,21.6,321.3,6.7
7,Minnesota Vikings,2.7,0.9,0.6,0.9,0.1,0.1,25.3,376.3,6.6
8,Arizona Cardinals,2.3,0.8,0.8,1.5,0.2,0.0,22.0,342.9,6.6
9,New England Patriots,2.4,1.0,0.5,0.7,0.2,0.0,20.9,344.4,6.6
10,Tampa Bay Buccaneers,2.6,0.9,0.6,0.9,0.1,0.0,23.5,312.3,6.4
11,Washington Commanders,2.4,0.8,0.6,0.9,0.1,0.0,24.1,358.5,6.2
12,New Orleans Saints,2.2,0.9,0.6,0.8,0.2,0.0,20.5,345.4,6.1
13,Miami Dolphins,2.4,0.8,0.6,1.1,0.2,0.1,22.4,357.8,6.1
14,Dallas Cowboys,2.3,0.8,0.6,0.9,0.2,0.0,22.1,366.5,6.0
15,Los Angeles Chargers,2.2,0.8,0.6,0.9,0.1,0.0,22.5,339.0,5.9
16,Cleveland Browns,2.3,0.8,0.5,0.8,0.1,0.0,23.3,340.6,5.9
17,Green Bay Packers,2.1,0.8,0.7,1.1,0.1,0.0,27.1,379.4,5.9
18,Houston Texans,2.0,0.8,0.6,0.9,0.2,0.0,26.4,367.7,5.8
19,Atlanta Falcons,2.0,0.9,0.5,0.8,0.1,0.0,23.8,339.9,5.8
20,Philadelphia Eagles,2.3,0.8,0.6,0.7,0.1,0.0,23.4,356.3,5.8
21,Carolina Panthers,2.1,0.8,0.6,0.9,0.1,0.0,22.3,336.8,5.8
22,Kansas City Chiefs,2.2,0.7,0.5,0.8,0.1,0.0,20.3,356.6,5.6
23,New York Jets,2.1,0.7,0.6,0.9,0.1,0.1,27.0,351.9,5.6
24,New York Giants,2.0,0.7,0.6,0.9,0.1,0.0,25.2,381.9,5.5
25,Detroit Lions,2.2,0.6,0.6,0.7,0.1,0.0,23.3,368.1,5.3
26,Chicago Bears,1.8,0.7,0.6,0.8,0.1,0.0,22.2,335.9,5.3
27,Denver Broncos,1.8,0.7,0.5,0.7,0.1,0.0,25.6,388.5,5.1
28,Tennessee Titans,1.8,0.7,0.5,0.8,0.1,0.0,27.9,385.8,4.9
29,Jacksonville Jaguars,1.8,0.6,0.5,0.5,0.1,0.0,29.1,389.5,4.8
