,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Mitchell Trubisky(BUF),19,26,73.1,354,13.6,6,0,1,3,53,0,0,1,43.5,43.5,0.4%
1,2,Jared Goff(DET),26,33,78.8,465,14.1,5,0,1,2,7,0,0,1,39.3,39.3,5.3%
2,3,Andrew Luck(FA),40,62,64.5,464,7.5,4,0,4,3,11,0,1,1,35.7,35.7,2.2%
3,4,Kirk Cousins(MIN),36,50,72.0,422,8.4,3,0,4,4,28,0,1,1,31.7,31.7,70.7%
4,5,Derek Carr(LV),35,58,60.3,437,7.5,4,2,3,2,1,0,0,1,31.6,31.6,58.1%
5,6,Deshaun Watson(HOU),29,42,69.0,375,8.9,2,1,7,6,41,1,0,1,31.1,31.1,5.0%
6,7,Marcus Mariota(LV),30,43,69.8,344,8.0,2,1,3,10,46,1,0,1,30.4,30.4,0.2%
7,8,Matt Ryan(ATL),29,39,74.4,419,10.7,3,0,3,2,5,0,0,1,29.3,29.3,36.3%
8,9,Andy Dalton(CHI),29,41,70.7,337,8.2,3,1,3,2,13,0,0,1,24.8,24.8,1.6%
9,10,Blake Bortles(NO),29,38,76.3,388,10.2,2,1,2,3,28,0,0,1,24.3,24.3,0.1%
10,11,Patrick Mahomes II(KC),28,45,62.2,304,6.8,1,0,1,3,7,1,0,1,22.9,22.9,100.0%
11,12,Joe Flacco(NYJ),28,42,66.7,363,8.6,2,0,2,2,-3,0,0,1,22.2,22.2,0.3%
12,13,Philip Rivers(FA),25,39,64.1,250,6.4,3,1,1,4,-3,0,0,1,21.7,21.7,20.6%
13,14,Matthew Stafford(LAR),24,30,80.0,307,10.2,2,0,3,2,5,0,0,1,20.8,20.8,97.2%
14,15,Carson Wentz(IND),33,50,66.0,348,7.0,2,0,4,2,8,0,1,1,20.7,20.7,44.0%
15,16,Tom Brady(FA),23,35,65.7,274,7.8,3,2,0,0,0,0,0,1,19.0,19.0,99.1%
16,17,Dak Prescott(DAL),17,27,63.0,255,9.4,2,0,3,3,2,0,0,1,18.4,18.4,98.2%
17,18,C.J. Beathard(JAC),23,37,62.2,298,8.1,2,2,1,7,19,0,0,1,17.8,17.8,0.0%
18,19,Aaron Rodgers(GB),22,40,55.0,298,7.5,1,1,2,5,31,0,1,1,15.0,15.0,97.4%
19,20,Ben Roethlisberger(FA),27,47,57.4,274,5.8,1,1,1,1,-1,0,0,1,14.9,14.9,23.8%
20,21,Eli Manning(FA),31,41,75.6,255,6.2,1,0,3,2,5,0,1,1,14.7,14.7,2.3%
21,22,Baker Mayfield(CLE),21,41,51.2,295,7.2,2,2,2,4,10,0,2,1,12.8,12.8,26.4%
22,23,Josh Rosen(ATL),15,27,55.6,180,6.7,1,0,1,2,13,0,0,1,12.5,12.5,0.0%
23,24,Sam Darnold(CAR),17,34,50.0,167,4.9,1,0,3,2,8,0,0,1,11.5,11.5,5.5%
24,25,Russell Wilson(SEA),19,26,73.1,172,6.6,0,0,2,4,21,0,0,1,9.0,9.0,90.4%
25,26,Drew Brees(FA),18,32,56.3,217,6.8,0,0,1,4,-1,0,0,1,8.6,8.6,35.7%
26,27,Case Keenum(CLE),21,33,63.6,245,7.4,0,1,4,0,0,0,0,1,7.8,7.8,0.9%
27,28,Jameis Winston(NO),16,20,80.0,145,7.3,1,2,2,1,7,0,0,1,6.5,6.5,5.2%
28,29,Brock Osweiler(FA),4,5,80.0,35,7.0,1,0,0,1,7,0,0,1,6.1,6.1,0.0%
29,30,Ryan Fitzpatrick(WAS),9,18,50.0,126,7.0,0,1,2,0,0,0,0,1,3.0,3.0,6.1%
30,31,Taysom Hill(NO),1,2,50.0,10,5.0,0,0,0,4,28,0,0,1,2.8,2.8,53.2%
31,32,Josh Allen(BUF),16,33,48.5,151,4.6,0,2,7,5,19,0,1,1,1.9,1.9,100.0%
