,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Arizona Cardinals(ARI),6,1,2,2,0,0,0,1,16.0,16.0,60.9%
1,2,New Orleans Saints(NO),2,2,1,1,0,0,0,1,15.0,15.0,79.3%
2,3,Pittsburgh Steelers(PIT),3,0,1,4,0,0,1,1,14.0,14.0,44.6%
3,4,San Francisco 49ers(SF),3,1,0,0,1,0,0,1,10.0,10.0,79.5%
4,5,Philadelphia Eagles(PHI),3,0,0,0,0,0,0,1,10.0,10.0,52.5%
5,6,Carolina Panthers(CAR),6,1,0,1,0,0,0,1,9.0,9.0,27.8%
6,7,New England Patriots(NE),2,1,0,0,0,0,0,1,8.0,8.0,93.2%
7,8,Los Angeles Rams(LAR),3,1,1,1,0,0,0,1,8.0,8.0,74.5%
8,9,Denver Broncos(DEN),2,0,1,1,0,0,0,1,8.0,8.0,48.5%
9,10,Dallas Cowboys(DAL),0,2,2,2,0,0,0,1,7.0,7.0,82.9%
10,11,Las Vegas Raiders(LV),3,0,2,2,0,0,0,1,7.0,7.0,7.6%
11,12,Houston Texans(HOU),1,3,0,1,0,0,0,1,7.0,7.0,6.4%
12,13,Seattle Seahawks(SEA),3,0,1,0,0,0,0,1,6.0,6.0,39.4%
13,14,Miami Dolphins(MIA),1,0,2,3,0,0,0,1,6.0,6.0,60.2%
14,15,Washington Commanders(WAS),2,1,0,1,0,0,0,1,5.0,5.0,27.5%
15,16,Minnesota Vikings(MIN),5,0,0,0,0,0,0,1,5.0,5.0,28.0%
16,17,Kansas City Chiefs(KC),2,1,1,2,0,0,0,1,5.0,5.0,45.7%
17,18,Cincinnati Bengals(CIN),3,0,1,1,0,0,0,1,5.0,5.0,14.7%
18,19,Los Angeles Chargers(LAC),1,0,1,2,0,0,0,1,4.0,4.0,44.3%
19,20,Indianapolis Colts(IND),3,0,1,1,0,0,0,1,4.0,4.0,66.4%
20,21,Baltimore Ravens(BAL),3,1,0,0,0,0,0,1,4.0,4.0,51.9%
21,22,New York Giants(NYG),2,0,1,1,0,0,0,1,4.0,4.0,4.5%
22,23,New York Jets(NYJ),1,0,1,0,0,0,0,1,4.0,4.0,3.3%
23,24,Tampa Bay Buccaneers(TB),1,1,0,0,0,0,0,1,2.0,2.0,98.0%
24,25,Buffalo Bills(BUF),2,0,0,1,0,0,0,1,2.0,2.0,95.9%
25,26,Cleveland Browns(CLE),2,0,0,0,0,0,0,1,1.0,1.0,40.8%
26,27,Detroit Lions(DET),1,0,2,1,0,0,0,1,1.0,1.0,1.1%
27,28,Chicago Bears(CHI),1,0,0,0,0,0,0,1,0.0,0.0,35.9%
28,29,Atlanta Falcons(ATL),1,0,0,0,0,0,0,1,0.0,0.0,5.8%
29,30,Tennessee Titans(TEN),2,1,0,0,0,0,0,1,0.0,0.0,48.4%
30,31,Jacksonville Jaguars(JAC),1,0,0,0,0,0,0,1,-3.0,-3.0,6.9%
31,32,Green Bay Packers(GB),0,0,0,0,0,0,0,1,-4.0,-4.0,60.6%
