Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh AllenBUF,38.9,26.1,313.8,2.7,0.6,7.7,37.0,0.4,0.2,28.4
Patrick Mahomes IIKC,38.0,25.7,300.6,2.4,0.9,5.3,29.1,0.1,0.2,24.2
Jalen HurtsPHI,33.1,20.1,242.3,1.5,0.8,9.2,52.4,0.5,0.2,22.8
Kyler MurrayARI,33.9,23.3,261.4,2.1,0.7,6.2,30.5,0.3,0.2,22.6
Matthew StaffordLAR,34.9,23.6,297.7,2.5,0.7,2.0,7.6,0.1,0.1,22.2
Justin HerbertLAC,39.7,26.2,293.1,2.1,0.8,3.7,15.8,0.2,0.1,21.5
Kirk CousinsMIN,37.7,25.9,301.8,2.0,0.6,2.4,7.9,0.0,0.2,20.2
Daniel JonesNYG,36.6,22.9,264.5,1.6,1.0,5.4,31.2,0.2,0.3,19.6
Joe BurrowCIN,31.6,20.9,266.1,2.0,0.8,3.1,11.8,0.1,0.1,19.4
Aaron RodgersGB,35.2,23.3,265.7,1.9,0.5,2.8,12.2,0.1,0.1,19.1
Jameis WinstonNO,32.9,20.8,243.9,1.9,0.9,4.2,18.8,0.1,0.3,18.3
Carson WentzWAS,33.6,21.5,242.0,1.8,0.6,3.6,15.3,0.2,0.3,18.3
Ryan TannehillTEN,33.9,22.3,262.9,1.6,0.7,3.7,17.7,0.1,0.2,18.2
Teddy BridgewaterDEN,35.1,23.6,264.1,1.7,0.9,2.7,11.3,0.1,0.1,17.9
Tua TagovailoaMIA,39.0,25.7,254.1,1.6,1.1,4.0,16.2,0.1,0.1,17.5
Jared GoffDET,36.6,24.5,250.9,1.8,0.9,2.0,5.6,0.0,0.2,16.6
Matt RyanATL,38.9,25.2,262.6,1.6,0.9,1.7,6.2,0.0,0.2,16.5
Geno SmithSEA,27.1,19.0,229.4,1.5,0.8,2.9,13.1,0.1,0.2,16.2
Taylor HeinickeWAS,32.6,20.4,238.5,1.1,1.3,6.1,28.7,0.1,0.1,16.0
Baker MayfieldCLE,32.0,20.5,248.2,1.3,0.8,2.3,11.6,0.1,0.2,15.9
Tyrod TaylorHOU,33.8,21.8,241.8,1.2,1.1,3.6,17.4,0.1,0.1,15.9
Trevor LawrenceJAC,36.7,22.5,237.8,1.2,1.1,4.2,19.4,0.1,0.2,15.8
Mac JonesNE,33.7,23.2,245.3,1.3,0.9,2.2,9.6,0.1,0.1,15.2
Sam DarnoldCAR,32.4,19.9,225.2,1.2,1.0,3.5,14.8,0.2,0.2,15.1
Jimmy GaroppoloSF,29.9,19.5,230.2,1.4,0.9,2.2,7.0,0.1,0.2,14.7
Justin FieldsCHI,30.1,18.9,194.5,0.9,1.1,6.4,30.0,0.2,0.3,13.8
Mike WhiteNYJ,34.4,22.1,236.2,1.2,1.3,2.0,6.7,0.0,0.2,13.6
Jordan LoveGB,33.0,21.3,185.3,1.0,0.7,3.4,12.7,0.1,0.2,12.0
Davis MillsHOU,22.5,14.1,169.3,0.8,0.8,0.6,3.2,0.0,0.1,9.5
Cooper RushDAL,18.6,11.7,153.8,0.8,0.7,1.7,6.6,0.1,0.1,9.5
Trevor SiemianNO,19.2,11.8,96.4,0.7,0.4,1.7,6.7,0.1,0.1,6.9
Case KeenumCLE,16.1,10.4,116.8,0.6,1.0,1.6,3.9,0.0,0.0,6.3
Trey LanceSF,2.8,1.7,23.4,0.1,0.1,2.2,17.0,0.1,0.0,3.5
P.J. WalkerCAR,9.2,5.5,46.7,0.2,0.2,1.1,3.2,0.0,0.0,3.0
Gardner Minshew IIPHI,1.4,0.9,17.6,0.1,0.0,0.3,0.8,0.0,0.0,1.3
Jacob EasonSEA,0.0,0.0,20.7,0.1,0.1,0.0,0.0,0.0,0.0,1.1
Mitchell TrubiskyBUF,1.6,1.1,16.1,0.1,0.1,0.3,0.6,0.0,0.0,1.0
Mike GlennonNYG,1.5,0.9,10.1,0.1,0.0,0.2,1.1,0.0,0.0,0.9
Drew LockSEA,1.4,0.9,12.7,0.1,0.1,0.3,0.6,0.0,0.0,0.9
Mason RudolphPIT,1.5,0.9,9.7,0.1,0.0,0.3,0.9,0.0,0.0,0.9
Jeff DriskelHOU,0.0,0.0,17.6,0.1,0.1,0.0,0.1,0.0,0.0,0.9
Dwayne HaskinsPIT,1.5,0.9,9.5,0.1,0.0,0.2,0.6,0.0,0.0,0.8
Brandon AllenCIN,1.3,0.9,13.2,0.1,0.0,0.3,0.5,0.0,0.0,0.8
Chase DanielLAC,1.5,1.0,12.1,0.1,0.1,0.2,0.5,0.0,0.0,0.8
Josh RosenATL,1.6,0.9,10.0,0.1,0.1,0.2,0.7,0.0,0.0,0.8
Chad HenneKC,1.6,1.0,11.2,0.1,0.0,0.2,0.6,0.0,0.0,0.8
Brian HoyerNE,1.4,0.9,11.2,0.1,0.0,0.3,0.1,0.0,0.0,0.8
C.J. BeathardJAC,1.6,0.8,14.7,0.0,0.0,0.2,0.5,0.0,0.0,0.7
Will GrierDAL,0.0,0.0,16.4,0.1,0.3,0.0,0.0,0.0,0.0,0.7
Colt McCoyARI,1.6,1.1,11.1,0.1,0.1,0.1,0.1,0.0,0.0,0.7
Jacoby BrissettMIA,0.8,0.5,5.5,0.1,0.0,0.5,1.5,0.0,0.0,0.6
John WolfordLAR,1.4,0.9,9.6,0.0,0.0,0.3,0.6,0.0,0.0,0.5
Andy DaltonCHI,1.5,0.9,10.3,0.0,0.1,0.1,0.3,0.0,0.0,0.5
Feleipe FranksATL,1.1,0.7,7.3,0.0,0.0,0.1,0.3,0.0,0.0,0.3
Blake BortlesNO,0.9,0.6,5.6,0.0,0.0,0.2,0.3,0.0,0.0,0.3
Joe FlaccoNYJ,1.0,0.7,7.8,0.0,0.1,0.0,0.1,0.0,0.0,0.2
Logan WoodsideTEN,0.7,0.4,4.7,0.0,0.0,0.3,0.2,0.0,0.0,0.2
