Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Deshaun Watson(HOU),30,42,71.4,280,6.7,1,2,0,10,42,2,0,1,31.4,31.4,5.0%
2,Matt Ryan(ATL),30,36,83.3,356,9.9,4,0,2,2,7,0,0,1,30.9,30.9,36.3%
3,Lamar Jackson(BAL),21,33,63.6,236,7.2,0,0,1,19,152,1,0,1,30.6,30.6,94.0%
4,Russell Wilson(DEN),23,33,69.7,295,8.9,2,0,3,9,31,1,0,1,28.9,28.9,90.4%
5,Kyler Murray(ARI),27,37,73.0,340,9.2,3,0,0,11,32,0,0,1,28.8,28.8,99.3%
6,Kirk Cousins(MIN),22,29,75.9,333,11.5,4,1,1,2,0,0,0,1,28.3,28.3,70.7%
7,Tom Brady(FA),31,41,75.6,334,8.1,0,1,3,7,6,2,1,1,23.0,23.0,99.1%
8,Baker Mayfield(CLE),22,37,59.5,249,6.7,1,3,0,4,35,1,0,1,22.5,22.5,26.4%
9,Carson Wentz(WAS),26,40,65.0,306,7.7,2,1,2,2,23,0,0,1,21.5,21.5,44.0%
10,Sam Darnold(CAR),23,32,71.9,338,10.6,2,1,2,5,1,0,0,1,20.6,20.6,5.5%
11,Patrick Mahomes II(KC),19,35,54.3,273,7.8,3,1,1,1,-1,0,1,1,19.8,19.8,100.0%
12,Aaron Rodgers(GB),24,39,61.5,283,7.3,2,1,1,3,10,0,0,1,19.3,19.3,97.4%
13,Dak Prescott(DAL),28,40,70.0,278,7.0,0,0,1,3,11,1,0,1,18.2,18.2,98.2%
14,Kyle Allen(WAS),20,32,62.5,227,7.1,2,0,2,3,3,0,0,1,17.4,17.4,0.1%
15,Jameis Winston(NO),30,54,55.6,400,7.4,1,5,7,1,1,0,1,1,17.1,17.1,5.2%
16,Philip Rivers(FA),26,44,59.1,320,7.3,2,2,1,1,0,0,1,1,16.8,16.8,20.6%
17,Case Keenum(CLE),13,25,52.0,166,6.6,2,0,0,4,10,0,0,1,15.6,15.6,0.9%
18,Andy Dalton(CHI),21,39,53.8,235,6.0,0,1,2,1,2,1,0,1,14.6,14.6,1.6%
19,Teddy Bridgewater(DEN),24,36,66.7,240,6.7,1,0,3,3,0,0,0,1,13.6,13.6,15.6%
20,Jimmy Garoppolo(SF),24,33,72.7,243,7.4,0,1,2,5,4,1,1,1,13.1,13.1,23.3%
21,Matthew Stafford(LAR),18,32,56.3,265,8.3,0,0,3,3,9,0,0,1,11.5,11.5,97.2%
22,Ryan Fitzpatrick(WAS),12,18,66.7,132,7.3,1,0,0,2,5,0,0,1,9.8,9.8,6.1%
23,Devlin Hodges(FA),15,20,75.0,132,6.6,1,1,0,3,8,0,0,1,9.1,9.1,0.0%
24,Daniel Jones(NYG),15,31,48.4,161,5.2,1,3,1,2,8,0,0,1,8.2,8.2,13.6%
25,Joe Flacco(NYJ),18,28,64.3,177,6.3,0,1,1,4,-1,0,0,1,6.0,6.0,0.3%
26,Gardner Minshew II(PHI),14,29,48.3,163,5.6,0,1,2,2,1,0,0,1,5.6,5.6,2.2%
27,Ryan Tannehill(TEN),13,16,81.3,144,9.0,0,1,4,1,6,0,0,1,5.4,5.4,62.7%
28,Taysom Hill(NO),0,0,0,0,0,0,0,0,3,17,0,0,1,1.7,1.7,53.2%
29,Josh Rosen(ATL),15,25,60.0,85,3.4,0,2,5,0,0,0,0,1,1.4,1.4,0.0%
30,Jared Goff(DET),13,24,54.2,78,3.3,0,0,4,1,0,0,1,1,1.1,1.1,5.3%
31,Marcus Mariota(LV),7,18,38.9,63,3.5,0,2,3,2,4,0,0,1,0.9,0.9,0.2%
32,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
33,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
34,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
35,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
