Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jonathan TaylorIND,24.5,118.5,1.0,1.8,15.1,0.1,0.1,19.9
Dalvin CookMIN,20.2,86.2,0.7,2.8,20.6,0.1,0.2,14.9
Alvin KamaraNO,15.3,62.7,0.5,4.4,38.5,0.2,0.1,14.2
Austin EkelerLAC,13.7,57.9,0.6,4.1,34.5,0.2,0.1,13.9
Joe MixonCIN,0.0,77.5,0.5,2.5,22.2,0.1,0.1,13.8
David MontgomeryCHI,18.1,72.5,0.6,3.2,23.4,0.1,0.1,13.7
Nick ChubbCLE,16.1,79.6,0.6,2.2,16.2,0.1,0.1,13.7
Najee HarrisPIT,17.7,69.6,0.5,3.5,26.7,0.1,0.0,13.4
James ConnerARI,17.0,60.0,0.6,3.5,28.4,0.1,0.1,13.3
Josh JacobsLV,16.0,64.4,0.6,3.3,23.7,0.1,0.1,12.8
Elijah MitchellSF,18.1,75.5,0.6,1.9,14.2,0.1,0.0,12.6
D'Onta ForemanTEN,18.5,77.4,0.6,1.1,10.7,0.0,0.1,12.6
Antonio GibsonWAS,16.0,63.6,0.6,3.0,21.1,0.1,0.1,12.5
Devin SingletaryBUF,15.9,66.7,0.6,2.5,18.3,0.1,0.1,12.2
Darrel WilliamsKC,14.3,51.2,0.5,2.9,24.9,0.1,0.0,11.4
Sony MichelLAR,16.0,60.6,0.5,1.6,13.4,0.1,0.1,10.8
AJ DillonGB,12.3,53.1,0.5,2.0,17.9,0.1,0.1,10.5
Boston ScottPHI,10.5,54.2,0.4,2.1,17.5,0.1,0.1,9.8
Rashaad PennySEA,13.7,56.7,0.5,1.0,8.3,0.0,0.1,9.5
Damien HarrisNE,12.0,55.9,0.6,0.5,4.3,0.0,0.1,9.5
Saquon BarkleyNYG,13.2,57.9,0.2,2.4,18.5,0.1,0.1,9.2
Javonte WilliamsDEN,11.7,54.3,0.3,2.2,18.1,0.1,0.1,9.1
Kenneth GainwellPHI,14.0,49.0,0.3,2.4,20.9,0.1,0.1,9.0
Samaje PerineCIN,13.9,49.6,0.4,2.2,15.8,0.1,0.1,9.0
Devonta FreemanBAL,13.0,55.1,0.3,2.0,13.0,0.1,0.1,9.0
Michael CarterNYJ,11.6,51.7,0.2,2.5,19.9,0.1,0.1,8.9
Melvin Gordon IIIDEN,11.2,49.0,0.5,1.8,12.4,0.0,0.1,8.9
Ezekiel ElliottDAL,9.8,44.1,0.4,1.9,14.8,0.1,0.1,8.8
Cordarrelle PattersonATL,11.0,40.1,0.2,2.8,27.0,0.1,0.1,8.7
Ke'Shawn VaughnTB,12.8,56.7,0.3,1.4,10.5,0.0,0.1,8.5
Rhamondre StevensonNE,12.0,47.8,0.4,1.0,7.8,0.0,0.1,8.2
Duke Johnson Jr.MIA,11.7,48.2,0.4,1.3,10.9,0.0,0.1,8.2
D'Andre SwiftDET,8.0,37.8,0.2,3.3,24.3,0.1,0.1,8.1
Rex BurkheadHOU,11.6,47.9,0.2,2.0,15.9,0.1,0.1,8.1
Dontrell HilliardTEN,9.2,43.3,0.2,2.5,19.5,0.1,0.1,8.0
Chuba HubbardCAR,11.0,43.7,0.3,1.5,11.0,0.0,0.1,7.1
Dare OgunbowaleJAC,8.8,37.7,0.3,1.8,14.4,0.0,0.0,7.0
Jason HuntleyPHI,8.9,37.4,0.3,1.4,10.0,0.0,0.1,6.6
Jamaal WilliamsDET,11.2,42.4,0.2,1.4,9.3,0.0,0.0,6.4
Mike DavisATL,8.7,35.8,0.1,2.5,16.9,0.1,0.1,6.4
Patrick Taylor Jr.GB,11.8,39.3,0.2,1.2,9.2,0.0,0.1,6.1
Justin JacksonLAC,7.4,33.0,0.2,1.4,11.5,0.0,0.0,5.7
Latavius MurrayBAL,8.6,32.9,0.2,0.9,6.4,0.0,0.0,5.3
D'Ernest JohnsonCLE,6.7,25.7,0.1,1.6,12.2,0.1,0.0,4.8
Cam AkersLAR,4.2,27.3,0.2,1.1,9.2,0.0,0.0,4.8
Ameer AbdullahCAR,4.5,17.1,0.1,2.9,22.0,0.1,0.0,4.8
Tevin ColemanNYJ,6.8,28.5,0.2,0.9,7.4,0.0,0.1,4.6
Corey ClementDAL,7.4,26.3,0.1,1.2,7.9,0.0,0.0,4.4
David JohnsonHOU,5.4,20.3,0.1,1.8,14.6,0.1,0.0,4.4
Myles GaskinMIA,5.7,23.8,0.1,1.6,11.4,0.0,0.0,4.4
Matt BreidaBUF,0.0,25.0,0.2,1.1,9.6,0.0,0.1,4.3
Jaret PattersonWAS,7.0,28.0,0.1,1.1,7.0,0.0,0.0,4.3
Ryquell ArmsteadJAC,7.4,26.1,0.1,0.9,8.3,0.0,0.0,4.2
Derrick GoreKC,5.7,24.2,0.2,0.9,7.5,0.0,0.1,4.1
