rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Giorgio Tavecchio,4.0,4.0,100.0,52.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,19.0,19.0,1.0,TEN,K,1,2017
2.0,Greg Zuerlein,3.0,3.0,100.0,50.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,17.0,17.0,74.2,DAL,K,1,2017
3.0,Dan Bailey,4.0,4.0,100.0,48.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,15.0,15.0,0.0,FA,K,1,2017
4.0,Wil Lutz,4.0,4.0,100.0,43.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,14.0,14.0,3.3,NO,K,1,2017
5.0,Caleb Sturgis,3.0,3.0,100.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,13.0,13.0,0.0,FA,K,1,2017
6.0,Ryan Succop,3.0,4.0,75.0,52.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,12.0,57.4,TB,K,1,2017
7.0,Jason Myers,3.0,4.0,75.0,42.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,12.0,12.0,22.1,SEA,K,1,2017
8.0,Kai Forbath,3.0,3.0,100.0,45.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,12.0,12.0,3.0,LAR,K,1,2017
9.0,Matt Bryant,3.0,3.0,100.0,48.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,12.0,12.0,1.1,FA,K,1,2017
10.0,Graham Gano,3.0,3.0,100.0,39.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,31.4,NYG,K,1,2017
11.0,Blair Walsh,3.0,3.0,100.0,41.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,0.1,FA,K,1,2017
12.0,Stephen Gostkowski,2.0,2.0,100.0,32.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,9.0,9.0,0.1,FA,K,1,2017
13.0,Chandler Catanzaro,2.0,2.0,100.0,52.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,9.0,0.0,FA,K,1,2017
14.0,Justin Tucker,2.0,2.0,100.0,25.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,98.0,BAL,K,1,2017
15.0,Connor Barth,1.0,1.0,100.0,54.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,0.0,FA,K,1,2017
16.0,Matt Prater,1.0,1.0,100.0,58.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,52.8,ARI,K,1,2017
17.0,Cairo Santos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,6.0,6.0,2.1,CHI,K,1,2017
18.0,Brandon McManus,1.0,2.0,50.0,20.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,44.3,DEN,K,1,2017
19.0,Mason Crosby,1.0,1.0,100.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,40.7,GB,K,1,2017
20.0,Phil Dawson,1.0,2.0,50.0,24.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,0.1,FA,K,1,2017
21.0,Dustin Hopkins,1.0,1.0,100.0,33.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,14.5,LAC,K,1,2017
