rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Pittsburgh Steelers,4.0,3.0,4.0,5.0,0.0,0.0,1.0,1.0,28.0,28.0,44.6,PIT,DST,2,2010
2.0,Miami Dolphins,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,27.0,27.0,60.2,MIA,DST,2,2010
3.0,Indianapolis Colts,4.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,26.0,26.0,66.4,IND,DST,2,2010
4.0,Kansas City Chiefs,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.0,21.0,45.7,KC,DST,2,2010
5.0,Tampa Bay Buccaneers,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,20.0,20.0,98.0,TB,DST,2,2010
6.0,New Orleans Saints,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,20.0,20.0,79.3,NO,DST,2,2010
7.0,Cincinnati Bengals,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,14.7,CIN,DST,2,2010
8.0,Denver Broncos,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,48.5,DEN,DST,2,2010
9.0,Atlanta Falcons,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,18.0,5.8,ATL,DST,2,2010
10.0,Jacksonville Jaguars,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,18.0,18.0,6.9,JAC,DST,2,2010
11.0,Green Bay Packers,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,60.6,GB,DST,2,2010
12.0,New York Jets,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,17.0,17.0,3.3,NYJ,DST,2,2010
13.0,Washington Commanders,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,27.5,WAS,DST,2,2010
14.0,Tennessee Titans,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,16.0,48.4,TEN,DST,2,2010
15.0,Chicago Bears,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,16.0,35.9,CHI,DST,2,2010
16.0,Philadelphia Eagles,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,16.0,52.5,PHI,DST,2,2010
17.0,Detroit Lions,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,15.0,1.1,DET,DST,2,2010
18.0,Houston Texans,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,6.4,HOU,DST,2,2010
19.0,Arizona Cardinals,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,13.0,60.9,ARI,DST,2,2010
20.0,New England Patriots,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,93.2,NE,DST,2,2010
21.0,Minnesota Vikings,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,13.0,13.0,28.0,MIN,DST,2,2010
22.0,Cleveland Browns,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,40.8,CLE,DST,2,2010
23.0,San Francisco 49ers,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,79.5,SF,DST,2,2010
24.0,Seattle Seahawks,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,39.4,SEA,DST,2,2010
25.0,Baltimore Ravens,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,51.9,BAL,DST,2,2010
26.0,Dallas Cowboys,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,82.9,DAL,DST,2,2010
27.0,New York Giants,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,4.5,NYG,DST,2,2010
28.0,Carolina Panthers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,27.8,CAR,DST,2,2010
29.0,Buffalo Bills,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,10.0,95.9,BUF,DST,2,2010
30.0,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,LAC,DST,2,2010
31.0,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,LAR,DST,2,2010
32.0,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,LV,DST,2,2010
