rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Matt Prater,2,3,66.7,59,0,0,0,1,1,0,0,1,9.0,9.0,52.8,ARI,K,6,2010
2,Stephen Gostkowski,3,3,100.0,38,0,1,1,0,0,0,0,1,6.0,6.0,0.1,FA,K,6,2010
3,Nick Folk,1,1,100.0,56,0,0,0,0,1,0,0,1,5.0,5.0,81.8,NE,K,6,2010
4,Mason Crosby,2,2,100.0,46,0,0,0,1,0,0,0,1,4.0,4.0,40.7,GB,K,6,2010
5,Robbie Gould,2,3,66.7,34,0,0,1,0,0,0,0,1,3.0,3.0,22.5,SF,K,6,2010
6,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,6,2010
7,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,6,2010
8,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,6,2010
9,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,6,2010
10,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,6,2010
11,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,K,6,2010
12,Adam Vinatieri,2,4,50.0,43,0,0,0,0,0,0,0,1,0.0,0.0,0.2,FA,K,6,2010
13,Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.6,KC,K,6,2010
14,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,6,2010
15,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,6,2010
16,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,K,6,2010
17,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,6,2010
18,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,6,2010
19,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,6,2010
20,Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.5,PHI,K,6,2010
21,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,CAR,K,6,2010
22,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.3,MIA,K,6,2010
23,Jason Myers,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.1,SEA,K,6,2010
24,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,K,6,2010
25,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,K,6,2010
26,Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NO,K,6,2010
27,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,HOU,K,6,2010
28,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,6,2010
29,Dominik Eberle,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,6,2010
30,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,K,6,2010
31,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,K,6,2010
32,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,6,2010
33,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,K,6,2010
34,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,K,6,2010
35,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,K,6,2010
36,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,K,6,2010
37,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,K,6,2010
38,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,K,6,2010
39,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,6,2010
40,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,6,2010
41,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,K,6,2010
42,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,K,6,2010
43,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,K,6,2010
44,Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,6,2010
45,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,6,2010
46,Phil Dawson,1,1,100.0,39,0,0,1,0,0,0,0,1,0.0,0.0,0.1,FA,K,6,2010
47,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,6,2010
48,Rob Bironas,3,3,100.0,36,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
49,Ryan Succop,1,1,100.0,24,0,0,0,0,0,0,0,1,0.0,0.0,57.4,TB,K,6,2010
50,Sebastian Janikowski,3,3,100.0,40,0,0,0,0,0,0,0,1,0.0,0.0,20.0,FA,K,6,2010
51,Shayne Graham,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
52,Nate Kaeding,1,2,50.0,41,0,0,0,1,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
53,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,6,2010
54,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,K,6,2010
55,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,6,2010
56,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,K,6,2010
57,Billy Cundiff,2,2,100.0,26,0,2,0,0,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
58,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,K,6,2010
59,Connor Barth,0,2,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
60,Dan Carpenter,3,3,100.0,53,0,0,0,1,0,0,0,1,0.0,0.0,0.2,FA,K,6,2010
61,David Akers,1,4,25.0,30,0,0,1,0,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
62,David Buehler,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
63,Garrett Hartley,1,2,50.0,27,0,1,0,0,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
64,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,6,2010
65,Graham Gano,1,2,50.0,39,0,0,0,0,0,0,0,1,0.0,0.0,31.4,NYG,K,6,2010
66,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CLE,K,6,2010
67,Josh Brown,2,2,100.0,48,0,0,1,1,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
68,Josh Scobee,1,1,100.0,33,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,K,6,2010
69,MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,6,2010
70,Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,K,6,2010
71,Matt Bryant,1,2,50.0,26,0,1,0,0,0,0,0,1,0.0,0.0,1.1,FA,K,6,2010
72,Justin Tucker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,98.0,BAL,K,6,2010
73,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,14.5,LAC,K,6,2010
74,Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,10.8,TEN,K,6,2010
75,Chris Boswell,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,51.0,PIT,K,6,2010
76,Brandon McManus,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,44.3,DEN,K,6,2010
77,Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,6,2010
78,Cairo Santos,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,CHI,K,6,2010
79,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.2,DAL,K,6,2010
80,Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,TEN,K,6,2010
81,Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,K,6,2010
82,Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,K,6,2010
83,Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,K,6,2010
84,Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,LAR,K,6,2010
85,Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,K,6,2010
