player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,lst,fantasy_points,team,position,week,year
Julio Jones,4.1,58.8,0.3,0.0,0.0,0.0,0.0,7.8,TEN,WR,8,2021
Jerry Jeudy,4.3,59.8,0.3,0.2,0.7,0.0,0.0,7.7,DEN,WR,8,2021
Jakobi Meyers,5.9,64.0,0.2,0.0,0.3,0.0,0.0,7.5,NE,WR,8,2021
Marquez Callaway,3.7,52.9,0.3,0.1,0.4,0.0,0.0,7.3,NO,WR,8,2021
Kalif Raymond,4.2,56.2,0.2,0.2,1.1,0.0,0.0,7.1,DET,WR,8,2021
Tre'Quan Smith,3.1,42.2,0.5,0.1,0.8,0.0,0.0,7.1,NO,WR,8,2021
Laviska Shenault Jr.,4.8,52.6,0.2,0.8,4.1,0.0,0.0,7.0,JAC,WR,8,2021
Jamison Crowder,4.9,54.2,0.3,0.0,0.1,0.0,0.0,6.9,NYJ,WR,8,2021
DeVante Parker,4.2,53.2,0.3,0.0,0.0,0.0,0.0,6.8,MIA,WR,8,2021
Christian Kirk,3.8,46.9,0.3,0.2,1.3,0.0,0.0,6.6,ARI,WR,8,2021
Randall Cobb,3.6,42.9,0.4,0.1,0.2,0.0,0.0,6.5,GB,WR,8,2021
Corey Davis,3.3,42.8,0.4,0.0,0.3,0.0,0.0,6.4,NYJ,WR,8,2021
Amon-Ra St. Brown,4.4,50.9,0.2,0.0,0.1,0.0,0.0,6.3,DET,WR,8,2021
Robby Anderson,4.0,47.3,0.2,0.1,0.7,0.0,0.0,6.3,CAR,WR,8,2021
Darnell Mooney,4.1,50.3,0.2,0.2,1.1,0.0,0.0,6.2,CHI,WR,8,2021
Tyler Boyd,4.3,48.3,0.2,0.1,0.9,0.0,0.1,6.2,CIN,WR,8,2021
Odell Beckham Jr.,3.3,46.5,0.2,0.4,2.2,0.0,0.0,6.2,LAR,WR,8,2021
Allen Robinson II,4.1,49.9,0.2,0.0,0.0,0.0,0.0,6.2,CHI,WR,8,2021
T.Y. Hilton,3.7,47.6,0.2,0.0,0.0,0.0,0.0,6.1,IND,WR,8,2021
Van Jefferson,3.1,43.9,0.3,0.0,0.1,0.0,0.0,6.1,LAR,WR,8,2021
Tim Patrick,3.4,45.2,0.3,0.1,0.8,0.0,0.0,6.0,DEN,WR,8,2021
Darius Slayton,3.2,45.5,0.2,0.0,0.0,0.0,0.0,6.0,NYG,WR,8,2021
Mecole Hardman,3.2,41.2,0.2,0.6,4.0,0.0,0.1,5.9,KC,WR,8,2021
Michael Gallup,2.5,40.1,0.3,0.0,0.0,0.0,0.0,5.9,DAL,WR,8,2021
Nelson Agholor,3.3,43.2,0.2,0.2,1.0,0.0,0.0,5.7,NE,WR,8,2021
Zach Pascal,3.0,39.0,0.3,0.0,0.0,0.0,0.0,5.5,IND,WR,8,2021
K.J. Osborn,3.4,41.5,0.2,0.1,0.5,0.0,0.0,5.5,MIN,WR,8,2021
Russell Gage,3.9,42.7,0.2,0.0,0.3,0.0,0.0,5.4,ATL,WR,8,2021
Allen Lazard,2.9,38.7,0.3,0.1,0.5,0.0,0.0,5.4,GB,WR,8,2021
Brandon Aiyuk,2.9,37.5,0.2,0.5,3.5,0.0,0.0,5.3,SF,WR,8,2021
Quez Watkins,2.8,40.0,0.1,0.0,0.0,0.0,0.0,4.8,PHI,WR,8,2021
Tyler Johnson,2.6,35.0,0.2,0.0,0.1,0.0,0.0,4.7,TB,WR,8,2021
Rondale Moore,2.7,31.2,0.1,1.0,6.3,0.0,0.0,4.6,ARI,WR,8,2021
Elijah Moore,2.9,35.4,0.1,0.2,1.1,0.0,0.0,4.6,NYJ,WR,8,2021
Cedrick Wilson Jr.,2.6,32.5,0.2,0.1,0.7,0.0,0.0,4.6,DAL,WR,8,2021
Kendrick Bourne,2.7,34.9,0.2,0.1,0.7,0.0,0.0,4.6,NE,WR,8,2021
Jamal Agnew,3.1,35.3,0.1,0.3,2.0,0.0,0.0,4.5,JAC,WR,8,2021
Donovan Peoples-Jones,2.2,33.5,0.2,0.0,0.0,0.0,0.1,4.4,CLE,WR,8,2021
Jalen Reagor,2.6,32.6,0.2,0.3,1.9,0.0,0.0,4.4,PHI,WR,8,2021
Marquez Valdes-Scantling,1.9,30.4,0.2,0.1,0.2,0.0,0.0,4.3,GB,WR,8,2021
Kenny Golladay,2.2,32.8,0.1,0.0,0.0,0.0,0.0,4.1,NYG,WR,8,2021
Equanimeous St. Brown,2.0,28.5,0.2,0.0,0.3,0.0,0.0,3.8,GB,WR,8,2021
Nico Collins,2.6,31.4,0.1,0.0,0.1,0.0,0.0,3.8,HOU,WR,8,2021
Gabriel Davis,1.5,24.3,0.2,0.0,0.0,0.0,0.0,3.8,BUF,WR,8,2021
Adam Humphries,3.0,31.7,0.1,0.0,0.1,0.0,0.0,3.8,WAS,WR,8,2021
Deonte Harty,2.1,26.8,0.2,0.1,1.1,0.0,0.0,3.7,NO,WR,8,2021
Josh Reynolds,2.2,27.5,0.2,0.0,0.1,0.0,0.0,3.7,DET,WR,8,2021
Jalen Guyton,1.9,27.7,0.1,0.2,1.6,0.0,0.0,3.7,LAC,WR,8,2021
Dyami Brown,2.6,25.0,0.2,0.1,0.0,0.0,0.0,3.7,WAS,WR,8,2021
Rashard Higgins,2.1,28.1,0.1,0.0,0.0,0.0,0.0,3.6,CLE,WR,8,2021
Terrace Marshall Jr.,2.1,26.0,0.2,0.0,0.1,0.0,0.0,3.6,CAR,WR,8,2021
Dante Pettis,2.0,26.0,0.2,0.0,0.0,0.0,0.0,3.6,NYG,WR,8,2021
KhaDarel Hodge,2.1,27.4,0.1,0.0,0.1,0.0,0.0,3.5,DET,WR,8,2021
Demarcus Robinson,1.9,22.9,0.2,0.0,0.0,0.0,0.0,3.5,KC,WR,8,2021
Keelan Cole Sr.,2.0,28.4,0.1,0.0,0.1,0.0,0.0,3.5,NYJ,WR,8,2021
Kenny Stills,1.7,23.1,0.2,0.1,0.4,0.0,0.0,3.4,NO,WR,8,2021
Danny Amendola,2.6,27.5,0.1,0.0,0.1,0.0,0.0,3.4,HOU,WR,8,2021
Freddie Swain,2.1,26.1,0.1,0.2,1.5,0.0,0.0,3.4,SEA,WR,8,2021
Olamide Zaccheaus,1.9,26.3,0.1,0.0,0.1,0.0,0.0,3.3,ATL,WR,8,2021
Byron Pringle,1.7,22.1,0.2,0.0,0.0,0.0,0.0,3.1,KC,WR,8,2021
John Ross,1.5,22.2,0.1,0.0,0.2,0.0,0.0,3.1,NYG,WR,8,2021
Chris Conley,1.7,23.0,0.1,0.0,0.2,0.0,0.0,3.0,HOU,WR,8,2021
Nick Westbrook-Ikhine,1.9,23.1,0.1,0.0,0.0,0.0,0.0,3.0,TEN,WR,8,2021
Tajae Sharpe,1.7,21.8,0.1,0.0,0.0,0.0,0.0,2.9,ATL,WR,8,2021
Mack Hollins,2.0,21.3,0.1,0.0,0.0,0.0,0.0,2.8,MIA,WR,8,2021
James Washington,1.7,22.7,0.1,0.0,0.0,0.0,0.0,2.8,PIT,WR,8,2021
Mohamed Sanu Sr.,1.9,20.9,0.1,0.0,0.0,0.0,0.0,2.7,SF,WR,8,2021
Denzel Mims,1.5,22.0,0.1,0.0,0.0,0.0,0.0,2.7,NYJ,WR,8,2021
Malik Taylor,1.7,19.1,0.1,0.0,0.1,0.0,0.0,2.7,GB,WR,8,2021
Albert Wilson,2.2,21.7,0.1,0.1,0.8,0.0,0.0,2.6,MIA,WR,8,2021
Juwan Johnson,1.4,13.7,0.2,0.0,0.0,0.0,0.0,2.6,NO,WR,8,2021
Joshua Palmer,1.4,15.6,0.2,0.1,0.3,0.0,0.0,2.5,LAC,WR,8,2021
Amari Rodgers,1.7,21.8,0.1,0.0,0.0,0.0,0.0,2.5,GB,WR,8,2021
Chris Moore,1.7,19.3,0.1,0.0,0.0,0.0,0.0,2.5,HOU,WR,8,2021
DeAndre Carter,1.4,18.6,0.1,0.2,1.9,0.0,0.0,2.4,WAS,WR,8,2021
Marcus Johnson,1.3,17.5,0.1,0.1,0.5,0.0,0.0,2.4,TEN,WR,8,2021
Braxton Berrios,1.5,17.7,0.1,0.0,0.5,0.0,0.0,2.3,NYJ,WR,8,2021
Preston Williams,1.4,18.9,0.1,0.1,0.8,0.0,0.0,2.3,MIA,WR,8,2021
Marquise Goodwin,1.3,18.6,0.1,0.1,0.6,0.0,0.0,2.2,CHI,WR,8,2021
Kendall Hinton,1.5,17.7,0.1,0.1,0.2,0.0,0.0,2.2,DEN,WR,8,2021
Collin Johnson,1.4,16.8,0.1,0.0,0.0,0.0,0.0,2.2,NYG,WR,8,2021
Chester Rogers,1.4,17.2,0.1,0.0,0.4,0.0,0.0,2.2,TEN,WR,8,2021
Tavon Austin,1.7,18.0,0.1,0.0,0.0,0.0,0.0,2.2,JAC,WR,8,2021
Ty Montgomery,1.4,13.6,0.1,0.5,2.0,0.0,0.0,2.0,NO,WR,8,2021
Marquez Stevenson,0.8,13.0,0.1,0.1,0.2,0.0,0.0,1.9,BUF,WR,8,2021
Ray-Ray McCloud,1.5,14.8,0.1,0.0,0.1,0.0,0.0,1.9,PIT,WR,8,2021
Shi Smith,1.2,14.7,0.1,0.0,0.5,0.0,0.0,1.9,CAR,WR,8,2021
Trent Sherfield,1.1,14.6,0.1,0.0,0.0,0.0,0.0,1.9,SF,WR,8,2021
Jaelon Darden,1.0,12.4,0.1,0.2,1.1,0.0,0.0,1.9,TB,WR,8,2021
Jauan Jennings,1.1,13.4,0.1,0.0,0.1,0.0,0.0,1.8,SF,WR,8,2021
Anthony Schwartz,0.9,12.1,0.1,0.1,0.8,0.0,0.0,1.8,CLE,WR,8,2021
Cam Sims,1.0,13.4,0.1,0.0,0.3,0.0,0.0,1.8,WAS,WR,8,2021
Ashton Dulin,1.0,11.6,0.1,0.0,0.1,0.0,0.0,1.7,IND,WR,8,2021
Dede Westbrook,1.2,12.7,0.1,0.0,0.3,0.0,0.0,1.7,MIN,WR,8,2021
N'Keal Harry,1.2,12.9,0.1,0.0,0.0,0.0,0.0,1.7,NE,WR,8,2021
Tom Kennedy,0.9,11.5,0.1,0.0,0.1,0.0,0.0,1.5,DET,WR,8,2021
Josh Gordon,0.8,11.4,0.1,0.0,0.0,0.0,0.0,1.4,KC,WR,8,2021
Noah Brown,0.9,10.8,0.0,0.0,0.1,0.0,0.0,1.4,DAL,WR,8,2021
Trinity Benson,0.8,9.8,0.1,0.0,0.0,0.0,0.0,1.3,DET,WR,8,2021
Dax Milne,0.9,10.4,0.1,0.0,0.0,0.0,0.0,1.3,WAS,WR,8,2021
Damiere Byrd,0.8,10.9,0.0,0.1,0.1,0.0,0.0,1.2,CHI,WR,8,2021
Isaiah Ford,0.8,9.1,0.0,0.0,0.0,0.0,0.0,1.2,MIA,WR,8,2021
Ben Skowronek,0.6,8.0,0.1,0.0,0.1,0.0,0.0,1.1,LAR,WR,8,2021
Greg Ward,0.6,7.3,0.1,0.0,0.0,0.0,0.0,1.1,PHI,WR,8,2021
Kevin White,0.7,8.4,0.0,0.0,0.0,0.0,0.0,1.1,NO,WR,8,2021
Penny Hart,0.7,7.7,0.0,0.0,0.2,0.0,0.0,1.0,SEA,WR,8,2021
Christian Blake,0.6,7.2,0.0,0.0,0.0,0.0,0.0,1.0,ATL,WR,8,2021
Isaiah McKenzie,0.4,5.2,0.0,0.4,2.3,0.0,0.0,0.9,BUF,WR,8,2021
Travis Benjamin,0.6,9.0,0.0,0.0,0.0,0.0,0.0,0.9,SF,WR,8,2021
Antoine Wesley,0.6,6.3,0.0,0.0,0.0,0.0,0.0,0.8,ARI,WR,8,2021
Frank Darby,0.5,6.3,0.0,0.0,0.2,0.0,0.0,0.8,ATL,WR,8,2021
Laquon Treadwell,0.8,8.0,0.0,0.0,0.0,0.0,0.0,0.8,JAC,WR,8,2021
Tyrie Cleveland,0.5,6.5,0.0,0.0,0.1,0.0,0.0,0.8,DEN,WR,8,2021
Jeff Smith,0.5,6.5,0.0,0.0,0.0,0.0,0.0,0.7,NYJ,WR,8,2021
Auden Tate,0.7,7.0,0.0,0.0,0.0,0.0,0.0,0.7,CIN,WR,8,2021
Tutu Atwell,0.4,4.8,0.0,0.0,0.0,0.0,0.0,0.7,LAR,WR,8,2021
Ihmir Smith-Marsette,0.3,4.3,0.0,0.0,0.4,0.0,0.0,0.7,MIN,WR,8,2021
Alex Erickson,0.5,4.5,0.0,0.1,0.3,0.0,0.0,0.6,CAR,WR,8,2021
Andre Roberts,0.2,4.3,0.0,0.0,0.2,0.0,0.0,0.6,LAC,WR,8,2021
Dan Chisena,0.3,4.6,0.0,0.0,0.1,0.0,0.0,0.6,MIN,WR,8,2021
Malik Turner,0.3,4.3,0.0,0.0,0.1,0.0,0.0,0.5,DAL,WR,8,2021
Jake Kumerow,0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.5,BUF,WR,8,2021
Juwann Winfree,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.5,GB,WR,8,2021
J.J. Arcega-Whiteside,0.2,3.4,0.0,0.0,0.0,0.0,0.0,0.4,PHI,WR,8,2021
Phillip Dorsett II,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.4,HOU,WR,8,2021
Kirk Merritt,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.4,NO,WR,8,2021
Trenton Irwin,0.3,3.5,0.0,0.0,0.1,0.0,0.0,0.4,CIN,WR,8,2021
Marcus Kemp,0.2,2.8,0.0,0.0,0.0,0.0,0.0,0.3,KC,WR,8,2021
Diontae Spencer,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3,DEN,WR,8,2021
Gunner Olszewski,0.1,2.4,0.0,0.0,0.3,0.0,0.0,0.3,NE,WR,8,2021
Matthew Slater,0.1,2.6,0.0,0.0,0.2,0.0,0.0,0.3,NE,WR,8,2021
Antonio Gandy-Golden,0.2,1.9,0.0,0.0,0.3,0.0,0.0,0.2,WAS,WR,8,2021
Stanley Morgan Jr.,0.1,2.1,0.0,0.0,0.1,0.0,0.0,0.2,CIN,WR,8,2021
Cooper Kupp,7.7,104.4,0.9,0.1,0.2,0.0,0.1,15.7,LAR,WR,9,2021
Tyreek Hill,6.6,88.0,0.7,0.9,6.2,0.0,0.1,13.8,KC,WR,9,2021
Cordarrelle Patterson,4.0,43.6,0.7,9.2,30.3,0.3,0.1,13.2,ATL,WR,9,2021
Stefon Diggs,6.6,87.1,0.7,0.0,0.3,0.0,0.1,12.7,BUF,WR,9,2021
A.J. Brown,6.2,89.4,0.6,0.2,1.0,0.0,0.1,12.6,TEN,WR,9,2021
Davante Adams,6.8,89.6,0.6,0.0,0.0,0.0,0.1,12.5,GB,WR,9,2021
DeAndre Hopkins,5.0,65.0,1.0,0.0,0.0,0.0,0.0,12.5,ARI,WR,9,2021
Ja'Marr Chase,5.3,79.9,0.7,0.4,2.1,0.0,0.0,12.3,CIN,WR,9,2021
Justin Jefferson,6.4,90.2,0.6,0.0,0.0,0.0,0.1,12.2,MIN,WR,9,2021
Deebo Samuel,5.5,80.3,0.5,0.8,5.6,0.0,0.1,11.9,SF,WR,9,2021
CeeDee Lamb,5.8,79.5,0.6,0.4,2.5,0.0,0.1,11.7,DAL,WR,9,2021
Marquise Brown,5.3,74.5,0.7,0.0,0.3,0.0,0.0,11.5,BAL,WR,9,2021
Diontae Johnson,6.9,78.8,0.6,0.3,2.0,0.0,0.1,11.4,PIT,WR,9,2021
Adam Thielen,5.8,75.0,0.6,0.1,0.3,0.0,0.1,11.2,MIN,WR,9,2021
Amari Cooper,5.3,73.3,0.7,0.0,0.2,0.0,0.1,11.2,DAL,WR,9,2021
Mike Williams,5.1,72.4,0.6,0.0,0.1,0.0,0.0,10.6,LAC,WR,9,2021
Brandin Cooks,5.8,76.1,0.5,0.1,0.3,0.0,0.1,10.5,HOU,WR,9,2021
Robert Woods,5.2,64.3,0.5,1.0,5.7,0.1,0.1,10.5,LAR,WR,9,2021
Michael Pittman Jr.,5.5,71.4,0.6,0.2,0.9,0.0,0.1,10.5,IND,WR,9,2021
DJ Moore,5.5,76.8,0.4,0.3,2.0,0.0,0.1,10.4,CAR,WR,9,2021
Emmanuel Sanders,4.4,64.1,0.6,0.1,0.5,0.0,0.0,9.7,BUF,WR,9,2021
Cole Beasley,5.5,64.6,0.6,0.0,0.0,0.0,0.1,9.7,BUF,WR,9,2021
Jaylen Waddle,5.8,64.7,0.5,0.3,1.7,0.0,0.1,9.6,MIA,WR,9,2021
Courtland Sutton,4.9,70.6,0.4,0.0,0.1,0.0,0.0,9.6,DEN,WR,9,2021
Jarvis Landry,5.4,65.6,0.4,0.6,3.2,0.0,0.1,9.5,CLE,WR,9,2021
Keenan Allen,6.5,72.7,0.3,0.0,0.1,0.0,0.1,9.2,LAC,WR,9,2021
Hunter Renfrow,5.4,61.4,0.4,0.0,0.0,0.0,0.1,8.7,LV,WR,9,2021
Tee Higgins,4.6,62.0,0.3,0.0,0.2,0.0,0.0,8.2,CIN,WR,9,2021
Chase Claypool,4.2,59.6,0.3,0.7,3.8,0.0,0.0,8.2,PIT,WR,9,2021
Christian Kirk,4.7,57.9,0.3,0.1,0.6,0.0,0.0,7.5,ARI,WR,9,2021
Marvin Jones Jr.,4.7,57.9,0.3,0.0,0.0,0.0,0.0,7.5,JAC,WR,9,2021
Jamison Crowder,5.3,59.1,0.3,0.0,0.1,0.0,0.1,7.4,NYJ,WR,9,2021
Julio Jones,4.2,58.7,0.2,0.0,0.0,0.0,0.0,7.2,TEN,WR,9,2021
Kadarius Toney,4.6,53.9,0.2,0.6,3.6,0.0,0.0,7.1,NYG,WR,9,2021
DeVonta Smith,4.4,56.4,0.2,0.0,0.1,0.0,0.0,7.0,PHI,WR,9,2021
Jakobi Meyers,5.6,59.7,0.2,0.0,0.1,0.0,0.1,7.0,NE,WR,9,2021
Jerry Jeudy,4.1,56.3,0.2,0.3,1.4,0.0,0.0,6.9,DEN,WR,9,2021
Rondale Moore,4.2,46.3,0.2,1.3,7.0,0.0,0.1,6.7,ARI,WR,9,2021
Kenny Golladay,3.6,51.5,0.3,0.0,0.0,0.0,0.0,6.6,NYG,WR,9,2021
Tyler Boyd,4.2,48.9,0.3,0.0,0.4,0.0,0.0,6.6,CIN,WR,9,2021
Van Jefferson,3.4,47.6,0.3,0.0,0.0,0.0,0.0,6.5,LAR,WR,9,2021
Bryan Edwards,3.3,51.2,0.2,0.0,0.0,0.0,0.0,6.5,LV,WR,9,2021
Darnell Mooney,4.3,52.7,0.2,0.1,0.3,0.0,0.0,6.4,CHI,WR,9,2021
Marquez Callaway,3.5,46.8,0.3,0.0,0.0,0.0,0.0,6.3,NO,WR,9,2021
Rashod Bateman,3.6,48.7,0.2,0.0,0.3,0.0,0.0,6.1,BAL,WR,9,2021
Zach Pascal,3.5,42.9,0.3,0.0,0.1,0.0,0.0,6.1,IND,WR,9,2021
Allen Robinson II,3.9,49.2,0.2,0.0,0.0,0.0,0.0,5.9,CHI,WR,9,2021
Tim Patrick,3.4,46.0,0.2,0.0,0.0,0.0,0.0,5.9,DEN,WR,9,2021
Mecole Hardman,3.5,43.5,0.2,0.6,3.6,0.0,0.1,5.8,KC,WR,9,2021
Nelson Agholor,3.3,42.5,0.2,0.2,1.1,0.0,0.0,5.7,NE,WR,9,2021
Laviska Shenault Jr.,4.2,43.8,0.1,0.7,3.7,0.0,0.0,5.6,JAC,WR,9,2021
Russell Gage,4.2,44.5,0.2,0.0,0.2,0.0,0.0,5.5,ATL,WR,9,2021
Tre'Quan Smith,2.7,37.2,0.3,0.1,0.4,0.0,0.0,5.5,NO,WR,9,2021
Darius Slayton,3.0,41.2,0.2,0.0,0.1,0.0,0.0,5.4,NYG,WR,9,2021
Donovan Peoples-Jones,2.5,39.2,0.2,0.0,0.1,0.0,0.1,5.2,CLE,WR,9,2021
Robby Anderson,3.3,39.5,0.2,0.1,0.3,0.0,0.0,5.2,CAR,WR,9,2021
K.J. Osborn,3.1,39.9,0.2,0.1,0.5,0.0,0.0,5.1,MIN,WR,9,2021
Brandon Aiyuk,3.0,36.0,0.2,0.4,2.2,0.0,0.0,4.9,SF,WR,9,2021
Nico Collins,2.9,37.1,0.2,0.0,0.1,0.0,0.0,4.7,HOU,WR,9,2021
Cedrick Wilson Jr.,2.2,29.3,0.3,0.2,0.8,0.0,0.0,4.6,DAL,WR,9,2021
Deonte Harty,2.7,33.3,0.2,0.2,2.0,0.0,0.0,4.6,NO,WR,9,2021
Quez Watkins,2.8,38.1,0.1,0.0,0.0,0.0,0.0,4.6,PHI,WR,9,2021
Elijah Moore,2.8,34.9,0.1,0.5,2.4,0.0,0.0,4.6,NYJ,WR,9,2021
Marquez Valdes-Scantling,2.1,33.6,0.2,0.1,0.3,0.0,0.0,4.5,GB,WR,9,2021
Rashard Higgins,2.5,35.3,0.2,0.0,0.0,0.0,0.0,4.5,CLE,WR,9,2021
Allen Lazard,2.7,34.1,0.2,0.0,0.3,0.0,0.0,4.5,GB,WR,9,2021
Kendrick Bourne,2.6,32.5,0.2,0.1,1.1,0.0,0.0,4.3,NE,WR,9,2021
Jamal Agnew,3.3,34.5,0.1,0.4,2.1,0.0,0.0,4.2,JAC,WR,9,2021
Jalen Reagor,2.4,27.6,0.2,0.5,2.9,0.0,0.0,4.0,PHI,WR,9,2021
Denzel Mims,2.3,32.3,0.1,0.0,0.0,0.0,0.0,4.0,NYJ,WR,9,2021
Gabriel Davis,1.6,24.6,0.2,0.0,0.0,0.0,0.0,3.8,BUF,WR,9,2021
Tajae Sharpe,2.6,30.9,0.1,0.0,0.0,0.0,0.0,3.8,ATL,WR,9,2021
Keelan Cole Sr.,2.1,28.9,0.1,0.0,0.1,0.0,0.0,3.6,NYJ,WR,9,2021
Danny Amendola,2.5,28.5,0.1,0.0,0.0,0.0,0.0,3.6,HOU,WR,9,2021
Antoine Wesley,2.2,25.3,0.1,0.0,0.0,0.0,0.0,3.4,ARI,WR,9,2021
Mack Hollins,1.9,25.1,0.1,0.0,0.0,0.0,0.0,3.3,MIA,WR,9,2021
Olamide Zaccheaus,2.0,26.3,0.1,0.0,0.1,0.0,0.0,3.3,ATL,WR,9,2021
Randall Cobb,2.1,24.5,0.1,0.1,0.3,0.0,0.0,3.3,GB,WR,9,2021
Terrace Marshall Jr.,2.3,25.9,0.1,0.0,0.1,0.0,0.0,3.2,CAR,WR,9,2021
