Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Emmanuel Sanders(BUF),6,7,102,17.0,64,1,1,0,0,0,0,1,21.3,21.3,46.6%
2,Odell Beckham Jr.(LAR),8,11,143,17.9,51,2,1,1,-1,0,0,1,20.2,20.2,90.8%
3,John Brown(FA),7,7,134,19.1,56,1,1,0,0,0,0,1,19.4,19.4,1.3%
4,Tyrell Williams(FA),4,4,118,29.5,75,2,1,0,0,0,0,1,17.8,17.8,4.8%
5,Adam Thielen(MIN),9,10,110,12.2,34,2,1,0,0,0,0,1,17.0,17.0,82.7%
6,Sterling Shepard(NYG),5,8,167,33.4,58,3,0,0,0,0,0,1,16.7,16.7,23.7%
7,Jarvis Landry(CLE),10,15,97,9.7,20,1,1,0,0,0,0,1,15.7,15.7,72.5%
8,Alshon Jeffery(FA),7,10,88,12.6,29,2,1,0,0,0,0,1,14.8,14.8,0.1%
9,T.Y. Hilton(IND),4,4,25,6.3,11,0,2,0,0,0,0,1,14.5,14.5,16.8%
10,Danny Amendola(HOU),6,7,84,14.0,24,1,1,0,0,0,0,1,14.4,14.4,0.1%
11,Michael Gallup(DAL),3,5,81,27.0,49,2,1,0,0,0,0,1,14.1,14.1,72.8%
12,Tyreek Hill(KC),7,10,68,9.7,27,1,1,2,8,0,0,1,13.6,13.6,100.0%
13,Brandin Cooks(HOU),4,5,64,16.0,23,2,1,1,7,0,0,1,13.1,13.1,92.7%
14,Michael Thomas(NO),7,9,69,9.9,32,1,1,0,0,0,0,1,12.9,12.9,20.6%
15,Marvin Hall(FA),3,3,63,21.0,47,1,1,0,0,0,0,1,12.3,12.3,0.0%
16,Devin Funchess(FA),6,11,62,10.3,18,0,1,0,0,0,0,1,12.2,12.2,0.0%
17,Mike Williams(LAC),1,3,55,55.0,55,1,1,1,3,0,0,1,11.8,11.8,91.9%
18,A.J. Green(ARI),7,14,117,16.7,31,3,0,0,0,0,0,1,11.7,11.7,51.8%
19,DeAndre Hopkins(ARI),3,8,50,16.7,31,1,1,0,0,0,0,1,11.0,11.0,69.3%
20,Mike Evans(TB),7,11,107,15.3,29,2,0,0,0,0,0,1,10.7,10.7,97.8%
21,Tajae Sharpe(ATL),7,9,101,14.4,19,0,0,0,0,0,0,1,10.1,10.1,1.1%
22,Josh Gordon(KC),4,7,100,25.0,55,2,0,0,0,0,0,1,10.0,10.0,1.8%
23,Larry Fitzgerald(FA),4,8,40,10.0,18,0,1,0,0,0,0,1,10.0,10.0,0.3%
24,Julian Edelman(FA),5,8,36,7.2,11,0,1,0,0,0,0,1,9.6,9.6,13.1%
25,Aldrick Robinson(FA),1,3,34,34.0,34,1,1,0,0,0,0,1,9.4,9.4,0.0%
26,DeSean Jackson(LV),2,4,25,12.5,14,0,0,2,8,1,0,1,9.3,9.3,4.4%
27,Jarius Wright(FA),2,2,37,18.5,28,1,0,1,34,0,0,1,9.1,9.1,0.0%
28,Courtland Sutton(DEN),1,3,28,28.0,28,1,1,0,0,0,0,1,8.8,8.8,67.5%
29,Curtis Samuel(WAS),1,1,16,16.0,16,0,0,2,9,1,0,1,8.5,8.5,15.7%
30,Julio Jones(TEN),9,12,104,11.6,19,0,0,0,0,0,1,1,8.4,8.4,60.7%
31,Robert Woods(LAR),5,7,78,15.6,32,2,0,1,6,0,0,1,8.4,8.4,29.9%
32,Donte Moncrief(FA),7,10,76,10.9,24,1,0,0,0,0,0,1,7.6,7.6,0.0%
33,Sammy Watkins(BAL),4,7,74,18.5,50,1,0,0,0,0,0,1,7.4,7.4,7.0%
34,Allen Hurns(MIA),5,6,74,14.8,33,2,0,0,0,0,0,1,7.4,7.4,0.0%
