,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Alex Smith,QB,KC,1,46,46,98,2,0,74,74,37.6,81.7
1,Ben Roethlisberger,QB,PIT,1,66,66,100,2,0,62,62,18.0,27.3
2,Benjamin Watson,TE,BAL,1,30,30,47,0,17,10,17,8.4,28.0
3,Brian Hoyer,QB,NE,1,2,2,3,100,0,100,100,-0.2,-10.0
4,Danny Amendola,WR,NE,1,32,32,46,0,13,6,13,3.4,10.6
5,DeSean Jackson,WR,TB,1,49,49,64,0,6,4,6,2.4,4.9
6,Drew Brees,QB,NO,1,64,64,100,6,0,59,59,14.5,22.7
7,Frank Gore,RB,IND,1,22,22,32,59,0,59,59,6.1,27.7
8,Jared Cook,TE,OAK,1,50,50,77,0,10,2,10,0.9,1.8
9,Jason Witten,TE,DAL,1,67,67,100,0,7,1,7,6.8,10.1
10,Joe Flacco,QB,BAL,1,64,64,100,2,0,58,58,18.7,29.2
11,Josh McCown,QB,NYJ,1,91,91,100,8,0,47,47,31.1,34.2
12,Larry Fitzgerald,WR,ARI,1,63,63,98,0,16,16,16,15.8,25.1
13,LeSean McCoy,RB,BUF,1,41,41,61,37,12,41,49,10.2,24.9
14,Marcedes Lewis,TE,JAC,1,56,56,85,0,9,7,9,6.6,11.8
15,Marshawn Lynch,RB,OAK,1,32,32,49,53,9,59,63,18.1,56.6
16,Matt Ryan,QB,ATL,1,53,53,100,2,0,57,57,7.0,13.2
17,Matthew Stafford,QB,DET,1,54,54,86,6,0,59,59,11.9,22.0
18,Philip Rivers,QB,LAC,1,70,70,100,3,0,64,64,17.6,25.1
19,Ted Ginn Jr.,WR,NO,1,39,39,61,3,8,8,10,3.3,8.5
20,Tom Brady,QB,NE,1,68,68,97,0,0,44,44,8.3,12.2
21,Vernon Davis,TE,WAS,1,54,54,90,0,4,4,4,1.5,2.8
22,Dez Bryant,WR,DAL,1,56,56,84,0,13,9,13,12.1,21.6
23,Golden Tate,WR,DET,1,51,51,81,0,20,16,20,6.9,13.5
24,Colt McCoy,QB,WAS,1,4,4,7,0,0,0,0,0.0,0.0
25,Emmanuel Sanders,WR,DEN,1,57,57,79,0,12,4,12,1.1,1.9
26,Jimmy Graham,TE,SEA,1,42,42,68,0,10,7,10,8.6,20.5
27,Joe Webb III,QB,BUF,1,5,5,7,60,0,80,80,2.7,54.0
28,Rob Gronkowski,TE,NE,1,65,65,93,0,17,14,17,14.7,22.6
29,Antonio Brown,WR,PIT,1,66,66,100,0,24,12,24,16.1,24.4
30,Logan Paulsen,TE,SF,1,8,8,11,0,0,0,0,0.0,0.0
31,A.J. Green,WR,CIN,1,62,62,97,0,26,11,26,19.7,31.8
32,Blaine Gabbert,QB,ARI,1,64,64,100,5,0,55,55,10.0,15.6
33,Julio Jones,WR,ATL,1,42,42,79,0,14,5,14,2.4,5.7
34,Cam Newton,QB,CAR,1,57,57,100,11,0,58,58,20.4,35.8
35,Mark Ingram II,RB,NO,1,36,36,56,39,19,56,58,18.2,50.6
36,Randall Cobb,WR,GB,1,41,41,75,0,0,0,0,0.0,0.0
37,Kyle Rudolph,TE,MIN,1,64,64,96,0,8,6,8,9.6,15.0
38,Andy Dalton,QB,CIN,1,64,64,100,3,0,59,59,19.3,30.2
39,Lance Kendricks,TE,GB,1,30,30,55,0,3,3,3,1.1,3.7
40,Anthony Sherman,RB,KC,1,3,3,6,0,0,0,0,0.0,0.0
41,Dion Lewis,RB,NE,1,26,26,37,58,0,58,58,9.2,35.4
42,Lee Smith,TE,OAK,1,26,26,40,0,0,0,0,0.0,0.0
43,Tyrod Taylor,QB,BUF,1,45,45,67,7,0,47,47,3.8,8.4
44,Virgil Green,TE,DEN,1,21,21,29,0,5,5,5,3.6,17.1
45,Kirk Cousins,QB,WAS,1,56,56,93,5,0,71,71,12.6,22.5
46,Russell Wilson,QB,SEA,1,62,62,100,10,0,60,60,24.2,39.0
47,Lamar Miller,RB,HOU,1,65,65,80,23,6,29,29,9.4,14.5
48,Alshon Jeffery,WR,PHI,1,70,70,93,0,9,6,9,6.1,8.7
49,Mohamed Sanu Sr.,WR,ATL,1,46,46,87,0,11,7,11,4.3,9.3
50,T.Y. Hilton,WR,IND,1,67,67,97,0,9,4,9,11.1,16.6
51,Travis Benjamin,WR,LAC,1,38,38,54,0,16,11,16,6.8,17.9
52,Marvin Jones Jr.,WR,DET,1,59,59,94,0,14,7,14,9.0,15.3
53,Rhett Ellison,TE,NYG,1,32,32,52,0,6,3,6,0.5,1.6
54,Alfred Morris,RB,DAL,1,37,37,55,73,3,73,76,18.7,50.5
55,Derek Carrier,TE,LAR,1,6,6,10,0,17,17,17,1.4,23.3
56,Case Keenum,QB,MIN,1,66,66,99,6,0,52,52,17.0,25.8
57,Josh Gordon,WR,CLE,1,48,48,76,0,23,8,23,8.5,17.7
58,Cole Beasley,WR,DAL,1,37,37,55,0,8,5,8,1.4,3.8
59,Garrett Celek,TE,SF,1,53,53,71,0,8,4,8,3.0,5.7
60,Jermaine Kearse,WR,NYJ,1,74,74,81,0,14,12,14,15.7,21.2
