,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,60,60,100,7,0,55,55,24.0,40.0
1,Alex Smith,QB,KC,1,77,77,100,6,0,55,55,26.9,34.9
2,Ben Roethlisberger,QB,PIT,1,80,80,100,1,0,70,70,2.6,3.3
3,Benjamin Watson,TE,BAL,1,59,59,89,0,7,3,7,0.2,0.3
4,Brian Hoyer,QB,SF,1,72,72,100,3,0,67,67,22.1,30.7
5,Danny Amendola,WR,NE,1,55,55,74,0,15,15,15,7.7,14.0
6,DeSean Jackson,WR,TB,1,52,52,72,0,17,10,17,10.6,20.4
7,Eli Manning,QB,NYG,1,69,69,100,0,0,52,52,13.0,18.8
8,Frank Gore,RB,IND,1,39,39,51,36,10,44,46,8.6,22.1
9,Jared Cook,TE,OAK,1,34,34,61,0,18,9,18,0.5,1.5
10,Jason Witten,TE,DAL,1,73,73,99,0,14,11,14,4.1,5.6
11,Joe Flacco,QB,BAL,1,66,66,100,5,0,44,44,8.5,12.9
12,Josh McCown,QB,NYJ,1,53,53,100,6,0,62,62,13.5,25.5
13,Larry Fitzgerald,WR,ARI,1,57,57,95,0,18,11,18,5.1,8.9
14,LeSean McCoy,RB,BUF,1,54,54,77,35,17,46,52,8.9,16.5
15,Marcedes Lewis,TE,JAC,1,45,45,83,0,4,2,4,1.4,3.1
16,Marshawn Lynch,RB,OAK,1,27,27,48,44,7,48,52,11.3,41.9
17,Matthew Stafford,QB,DET,1,61,61,100,0,0,57,57,15.2,24.9
18,Michael Crabtree,WR,OAK,1,36,36,64,0,22,17,22,14.2,39.4
19,Philip Rivers,QB,LAC,1,78,78,100,5,0,62,62,20.8,26.7
20,Tom Brady,QB,NE,1,74,74,100,3,0,57,57,12.6,17.0
21,Dez Bryant,WR,DAL,1,66,66,89,0,12,8,12,11.2,17.0
