Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Michael Crabtree(FA),6,6,80,13.3,26,3,3,0,0,0,0,1,26.0,26.0,0.0%
2,Jermaine Kearse(FA),4,5,64,16.0,34,1,2,0,0,0,0,1,18.4,18.4,0.0%
3,Emmanuel Sanders(BUF),6,8,62,10.3,25,1,2,0,0,0,0,1,18.2,18.2,46.6%
4,J.J. Nelson(IND),5,7,120,24.0,45,2,1,0,0,0,0,1,18.0,18.0,0.0%
5,Davante Adams(GB),8,10,99,12.4,33,1,1,0,0,0,0,1,15.9,15.9,100.0%
6,Martavis Bryant(FA),3,4,91,30.3,51,2,1,1,7,0,0,1,15.8,15.8,0.0%
7,Mike Evans(TB),7,9,93,13.3,18,0,1,0,0,0,0,1,15.3,15.3,97.8%
8,Alshon Jeffery(FA),7,13,92,13.1,18,0,1,0,0,0,0,1,15.2,15.2,0.1%
9,Brandon Coleman(FA),4,6,82,20.5,42,2,1,0,0,0,0,1,14.2,14.2,0.0%
10,Allen Hurns(MIA),6,7,82,13.7,20,1,1,0,0,0,0,1,14.2,14.2,0.0%
11,Chris Hogan(FA),5,6,78,15.6,27,2,1,0,0,0,0,1,13.8,13.8,0.0%
12,Cordarrelle Patterson(ATL),1,1,6,6.0,6,0,0,3,57,1,0,1,12.3,12.3,95.1%
13,Dez Bryant(FA),7,16,59,8.4,15,0,1,0,0,0,0,1,11.9,11.9,2.6%
14,Deonte Thompson(FA),4,5,57,14.3,20,1,1,0,0,0,0,1,11.7,11.7,0.0%
15,Julio Jones(TEN),5,9,108,21.6,34,2,0,0,0,0,0,1,10.8,10.8,60.7%
16,Keenan Allen(LAC),9,10,100,11.1,24,2,0,0,0,0,0,1,10.0,10.0,99.3%
17,Rashard Higgins(CLE),7,11,95,13.6,35,2,0,1,4,0,0,1,9.9,9.9,0.7%
18,Kenny Stills(NO),2,5,37,18.5,29,1,1,0,0,0,0,1,9.7,9.7,0.1%
19,Jeremy Maclin(FA),4,5,31,7.8,19,0,1,0,0,0,0,1,9.1,9.1,0.0%
20,Michael Thomas(NO),5,10,89,17.8,33,2,0,0,0,0,0,1,8.9,8.9,20.6%
21,Marvin Jones Jr.(JAC),1,5,27,27.0,27,1,1,0,0,0,0,1,8.7,8.7,55.4%
22,Mohamed Sanu Sr.(SF),5,6,85,17.0,24,3,0,0,0,0,0,1,8.5,8.5,0.1%
23,DeVante Parker(MIA),4,9,85,21.3,31,2,0,0,0,0,0,1,8.5,8.5,64.3%
24,Paul Richardson Jr.(FA),2,5,19,9.5,10,0,1,0,0,0,0,1,7.9,7.9,0.0%
25,Kelvin Benjamin(FA),6,8,77,12.8,18,0,0,0,0,0,0,1,7.7,7.7,0.1%
26,JuJu Smith-Schuster(FA),3,4,16,5.3,9,0,1,0,0,0,0,1,7.6,7.6,18.5%
27,Marqise Lee(FA),7,12,76,10.9,19,0,0,0,0,0,0,1,7.6,7.6,0.0%
28,Phillip Dorsett II(HOU),3,3,68,22.7,38,2,0,1,7,0,0,1,7.5,7.5,0.0%
29,Jaron Brown(ARI),4,11,73,18.3,22,3,0,0,0,0,0,1,7.3,7.3,0.0%
30,DeAndre Hopkins(ARI),7,13,73,10.4,25,1,0,0,0,0,0,1,7.3,7.3,69.3%
31,Demaryius Thomas(FA),6,8,71,11.8,27,1,0,0,0,0,0,1,7.1,7.1,0.1%
32,Jarvis Landry(CLE),13,15,78,6.0,18,0,0,1,-7,0,0,1,7.1,7.1,72.5%
33,Ryan Grant(FA),1,2,11,11.0,11,0,1,0,0,0,0,1,7.1,7.1,0.0%
34,Randall Cobb(GB),6,9,60,10.0,18,0,0,1,10,0,0,1,7.0,7.0,7.6%
35,Nelson Agholor(NE),1,3,9,9.0,9,0,1,0,0,0,0,1,6.9,6.9,13.6%
36,Kendall Wright(FA),7,10,69,9.9,18,0,0,0,0,0,0,1,6.9,6.9,0.0%
37,Devin Funchess(FA),4,6,68,17.0,24,2,0,0,0,0,0,1,6.8,6.8,0.0%
38,A.J. Green(ARI),5,8,67,13.4,50,1,0,0,0,0,0,1,6.7,6.7,51.8%
39,Torrey Smith(FA),4,8,66,16.5,24,2,0,0,0,0,0,1,6.6,6.6,0.0%
40,Tyler Lockett(SEA),6,9,64,10.7,22,1,0,0,0,0,0,1,6.4,6.4,97.5%
41,Alex Erickson(CAR),4,6,62,15.5,37,1,0,1,2,0,0,1,6.4,6.4,0.0%
42,Antonio Brown(FA),5,11,62,12.4,26,1,0,0,0,0,0,1,6.2,6.2,84.1%
43,Taywan Taylor(FA),1,1,42,42.0,42,1,0,2,16,0,0,1,5.8,5.8,0.0%
44,Chris Conley(HOU),4,4,55,13.8,35,1,0,0,0,0,0,1,5.5,5.5,0.4%
45,Tyrell Williams(FA),4,4,54,13.5,23,1,0,0,0,0,0,1,5.4,5.4,4.8%
46,Josh Bellamy(FA),4,7,51,12.8,17,0,0,0,0,0,0,1,5.1,5.1,0.0%
47,T.Y. Hilton(IND),4,6,49,12.3,16,0,0,0,0,0,0,1,4.9,4.9,16.8%
48,Tyreek Hill(KC),4,6,43,10.8,18,0,0,1,6,0,0,1,4.9,4.9,100.0%
49,Jamison Crowder(NYJ),4,5,47,11.8,21,1,0,0,0,0,0,1,4.7,4.7,23.6%
50,Doug Baldwin(FA),6,9,44,7.3,18,0,0,0,0,0,0,1,4.4,4.4,0.0%
51,Rishard Matthews(FA),3,5,43,14.3,20,1,0,0,0,0,0,1,4.3,4.3,0.0%
52,Eli Rogers(FA),4,7,43,10.8,16,0,0,0,0,0,0,1,4.3,4.3,0.0%
53,Brandin Cooks(HOU),2,4,37,18.5,22,1,0,2,6,0,0,1,4.3,4.3,92.7%
54,DeSean Jackson(LV),3,7,39,13.0,21,1,0,0,0,0,0,1,3.9,3.9,4.4%
55,Odell Beckham Jr.(LAR),4,5,36,9.0,16,0,0,0,0,0,0,1,3.6,3.6,90.8%
56,Cooper Kupp(LAR),3,6,33,11.0,17,0,0,0,0,0,0,1,3.3,3.3,100.0%
57,Amari Cooper(DAL),4,5,33,8.3,16,0,0,0,0,0,0,1,3.3,3.3,97.7%
58,Cole Beasley(BUF),4,8,33,8.3,10,0,0,0,0,0,0,1,3.3,3.3,63.2%
59,Laquon Treadwell(JAC),3,6,33,11.0,15,0,0,0,0,0,0,1,3.3,3.3,2.5%
60,Mack Hollins(MIA),3,3,32,10.7,13,0,0,0,0,0,0,1,3.2,3.2,0.2%
61,Eric Decker(FA),3,5,32,10.7,16,0,0,0,0,0,0,1,3.2,3.2,0.6%
62,Kamar Aiken(FA),3,9,31,10.3,14,0,0,0,0,0,0,1,3.1,3.1,0.0%
63,Stefon Diggs(BUF),2,6,27,13.5,21,1,0,1,4,0,0,1,3.1,3.1,100.0%
64,Terrelle Pryor Sr.(FA),2,4,31,15.5,23,1,0,0,0,0,0,1,3.1,3.1,0.0%
65,Sammy Watkins(BAL),2,2,30,15.0,28,1,0,0,0,0,0,1,3.0,3.0,7.0%
66,Jordan Matthews(SF),3,3,30,10.0,15,0,0,0,0,0,0,1,3.0,3.0,0.0%
67,Brandon LaFell(FA),4,7,30,7.5,12,0,0,0,0,0,0,1,3.0,3.0,0.0%
68,Sterling Shepard(NYG),2,4,23,11.5,12,0,0,2,7,0,0,1,3.0,3.0,23.7%
69,Brittan Golden(FA),1,2,29,29.0,29,1,0,0,0,0,0,1,2.9,2.9,0.0%
70,Robby Anderson(CAR),2,4,28,14.0,19,0,0,0,0,0,0,1,2.8,2.8,42.2%
71,Josh Reynolds(DET),1,1,28,28.0,28,1,0,0,0,0,0,1,2.8,2.8,6.9%
72,Ricardo Louis(FA),2,2,27,13.5,24,1,0,0,0,0,0,1,2.7,2.7,0.0%
73,Tanner Gentry(BUF),2,3,27,13.5,15,0,0,0,0,0,0,1,2.7,2.7,0.0%
74,Albert Wilson(MIA),2,3,22,11.0,12,0,0,1,4,0,0,1,2.6,2.6,0.8%
75,Pierre Garcon(FA),3,5,26,8.7,11,0,0,0,0,0,0,1,2.6,2.6,0.0%
76,Marquise Goodwin(CHI),3,6,26,8.7,12,0,0,0,0,0,0,1,2.6,2.6,0.3%
77,Golden Tate(FA),4,4,25,6.3,10,0,0,0,0,0,0,1,2.5,2.5,0.1%
78,Geronimo Allison(FA),3,5,24,8.0,13,0,0,0,0,0,0,1,2.4,2.4,0.0%
79,Ted Ginn Jr.(FA),3,6,24,8.0,12,0,0,0,0,0,0,1,2.4,2.4,0.0%
80,Adam Thielen(MIN),5,6,44,8.8,24,1,0,0,0,0,1,1,2.4,2.4,82.7%
81,Cody Latimer(FA),2,2,22,11.0,13,0,0,0,0,0,0,1,2.2,2.2,0.0%
82,Larry Fitzgerald(FA),3,6,21,7.0,10,0,0,0,0,0,0,1,2.1,2.1,0.3%
83,Taylor Gabriel(FA),2,3,14,7.0,12,0,0,1,7,0,0,1,2.1,2.1,0.1%
84,Justin Hardy(FA),1,2,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.0%
85,Andre Holmes(FA),2,4,18,9.0,9,0,0,0,0,0,0,1,1.8,1.8,0.0%
86,Brice Butler(FA),1,2,18,18.0,18,0,0,0,0,0,0,1,1.8,1.8,0.0%
87,Zay Jones(LV),2,6,18,9.0,12,0,0,0,0,0,0,1,1.8,1.8,6.0%
88,Donte Moncrief(FA),2,8,18,9.0,15,0,0,0,0,0,0,1,1.8,1.8,0.0%
89,Adam Humphries(WAS),2,3,18,9.0,9,0,0,0,0,0,0,1,1.8,1.8,0.8%
90,Brandon Marshall(FA),1,5,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,2.6%
91,Terrance Williams(FA),4,5,17,4.3,6,0,0,0,0,0,0,1,1.7,1.7,0.0%
92,Tommylee Lewis(MIA),1,2,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.0%
93,Amara Darboh(DEN),1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.0%
94,Chad Williams(FA),1,2,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.0%
95,Jeremy Kerley(FA),3,3,14,4.7,10,0,0,0,0,0,0,1,1.4,1.4,0.0%
