player,fg,fg_att,XPT,fantasy_points,team,position,week,year
Justin Tucker,2.0,2.3,2.9,8.9,BAL,K,1,2021
Quinn Nordin,2.1,2.3,2.6,8.7,NE,K,1,2021
Jason Myers,2.0,2.3,2.6,8.6,SEA,K,1,2021
Mason Crosby,1.9,2.2,2.9,8.6,GB,K,1,2021
Ryan Succop,1.7,2.1,3.3,8.5,TB,K,1,2021
Harrison Butker,1.8,2.0,3.1,8.4,KC,K,1,2021
Younghoe Koo,2.0,2.3,2.4,8.4,ATL,K,1,2021
Robbie Gould,1.8,2.1,2.8,8.2,SF,K,1,2021
Daniel Carlson,2.0,2.3,2.2,8.1,LV,K,1,2021
Brandon McManus,2.0,2.4,2.1,8.1,DEN,K,1,2021
Rodrigo Blankenship,2.0,2.3,2.0,7.9,IND,K,1,2021
Tyler Bass,1.7,2.1,2.7,7.9,BUF,K,1,2021
Ka'imi Fairbairn,2.0,2.3,1.9,7.9,HOU,K,1,2021
Matt Gay,1.8,2.2,2.5,7.8,LAR,K,1,2021
Greg Joseph,1.7,2.0,2.6,7.8,MIN,K,1,2021
Michael Badgley,1.6,1.9,2.6,7.3,IND,K,1,2021
Evan McPherson,1.7,2.1,2.1,7.3,CIN,K,1,2021
Graham Gano,1.8,2.0,1.8,7.1,NYG,K,1,2021
Matt Prater,1.5,1.9,2.4,7.1,ARI,K,1,2021
Matt Ammendola,1.7,1.9,1.9,7.0,NYJ,K,1,2021
Greg Zuerlein,1.5,1.9,2.4,7.0,DAL,K,1,2021
Dustin Hopkins,1.6,1.9,2.2,7.0,LAC,K,1,2021
Jake Elliott,1.7,2.0,2.0,7.0,PHI,K,1,2021
Cairo Santos,1.6,1.9,2.0,6.9,CHI,K,1,2021
Joey Slye,1.6,1.9,2.0,6.9,WAS,K,1,2021
Chase McLaughlin,1.5,1.7,2.4,6.8,CLE,K,1,2021
Nick Folk,1.5,1.8,2.2,6.8,NE,K,1,2021
Jason Sanders,1.6,1.8,1.9,6.6,MIA,K,1,2021
Chris Boswell,1.5,1.7,2.2,6.5,PIT,K,1,2021
Austin Seibert,1.5,1.8,1.9,6.4,DET,K,1,2021
