rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,San Francisco 49ers,4.0,2.0,5.0,6.0,0.0,0.0,0.0,1.0,29.0,29.0,79.5,SF,DST,14,2009
2.0,Tennessee Titans,1.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,27.0,27.0,48.4,TEN,DST,14,2009
3.0,Philadelphia Eagles,3.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,27.0,27.0,52.5,PHI,DST,14,2009
4.0,Buffalo Bills,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,21.0,95.9,BUF,DST,14,2009
5.0,Houston Texans,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,21.0,6.4,HOU,DST,14,2009
6.0,Washington Commanders,8.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,20.0,20.0,27.5,WAS,DST,14,2009
7.0,New York Jets,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,3.3,NYJ,DST,14,2009
8.0,Jacksonville Jaguars,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,18.0,18.0,6.9,JAC,DST,14,2009
9.0,Cleveland Browns,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,40.8,CLE,DST,14,2009
10.0,Kansas City Chiefs,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,18.0,18.0,45.7,KC,DST,14,2009
11.0,Chicago Bears,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,17.0,17.0,35.9,CHI,DST,14,2009
12.0,Green Bay Packers,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,60.6,GB,DST,14,2009
13.0,Carolina Panthers,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,16.0,16.0,27.8,CAR,DST,14,2009
14.0,Denver Broncos,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,48.5,DEN,DST,14,2009
15.0,Arizona Cardinals,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,60.9,ARI,DST,14,2009
16.0,Indianapolis Colts,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,66.4,IND,DST,14,2009
17.0,Baltimore Ravens,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,51.9,BAL,DST,14,2009
18.0,Cincinnati Bengals,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,14.7,CIN,DST,14,2009
19.0,Tampa Bay Buccaneers,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,13.0,98.0,TB,DST,14,2009
20.0,Dallas Cowboys,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,82.9,DAL,DST,14,2009
21.0,Minnesota Vikings,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,13.0,28.0,MIN,DST,14,2009
22.0,New Orleans Saints,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,79.3,NO,DST,14,2009
23.0,Miami Dolphins,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,60.2,MIA,DST,14,2009
24.0,Seattle Seahawks,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,39.4,SEA,DST,14,2009
25.0,New England Patriots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,93.2,NE,DST,14,2009
26.0,New York Giants,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,4.5,NYG,DST,14,2009
27.0,Pittsburgh Steelers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,44.6,PIT,DST,14,2009
28.0,Detroit Lions,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,1.1,DET,DST,14,2009
29.0,Atlanta Falcons,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,5.8,ATL,DST,14,2009
30.0,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,LV,DST,14,2009
31.0,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,LAC,DST,14,2009
32.0,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,LAR,DST,14,2009
