Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Christian McCaffrey(CAR),17,125,7.4,59,1,1,11,11,112,10.2,1,0,1,35.7,35.7,47.2%
2,Saquon Barkley(NYG),13,101,7.8,51,2,1,7,8,41,5.9,1,0,1,26.2,26.2,97.6%
3,Nick Chubb(CLE),28,84,3.0,27,1,1,3,3,44,14.7,1,0,1,24.8,24.8,99.8%
4,Leonard Fournette(TB),18,95,5.3,16,0,2,3,3,13,4.3,0,0,1,22.8,22.8,74.8%
5,Lamar Miller(FA),12,162,13.5,97,2,1,1,1,5,5.0,0,0,1,22.7,22.7,0.0%
6,LeGarrette Blount(FA),19,88,4.6,27,1,2,1,1,15,15.0,0,0,1,22.3,22.3,0.1%
7,Kenyan Drake(LV),8,32,4.0,14,0,1,5,6,64,12.8,1,0,1,21.6,21.6,29.4%
8,Sony Michel(LAR),21,133,6.3,33,2,1,2,2,12,6.0,0,0,1,20.5,20.5,89.4%
9,Ezekiel Elliott(DAL),26,121,4.7,16,0,1,5,6,22,4.4,0,0,1,20.3,20.3,99.7%
10,Melvin Gordon III(DEN),10,61,6.1,28,1,2,2,2,5,2.5,0,0,1,18.6,18.6,87.8%
11,Phillip Lindsay(MIA),14,110,7.9,32,1,1,0,0,0,0,0,0,1,17.0,17.0,9.0%
12,Josh Adams(NO),22,84,3.8,19,0,1,0,1,0,0,0,0,1,16.4,16.4,0.0%
13,Austin Ekeler(LAC),5,35,7.0,13,0,1,10,11,68,6.8,0,0,1,16.3,16.3,99.9%
14,Joe Mixon(CIN),14,89,6.4,32,1,0,7,7,66,9.4,0,0,1,15.5,15.5,98.1%
15,Aaron Jones(GB),17,72,4.2,11,0,1,3,5,21,7.0,0,0,1,15.3,15.3,98.9%
16,Matt Breida(BUF),14,106,7.6,33,2,0,3,4,34,11.3,0,0,1,14.0,14.0,8.2%
17,Dalvin Cook(MIN),10,29,2.9,9,0,0,3,3,47,15.7,1,0,1,13.6,13.6,100.0%
18,Doug Martin(FA),11,51,4.6,14,0,1,3,4,21,7.0,0,0,1,13.2,13.2,0.0%
19,Chris Carson(SEA),16,55,3.4,16,0,1,2,2,8,4.0,0,0,1,12.3,12.3,31.7%
20,Peyton Barber(LV),18,47,2.6,14,0,1,2,2,16,8.0,0,0,1,12.3,12.3,1.2%
21,Tarik Cohen(CHI),3,14,4.7,10,0,0,7,8,45,6.4,1,0,1,11.9,11.9,3.0%
22,Gus Edwards(BAL),23,118,5.1,19,0,0,0,0,0,0,0,0,1,11.8,11.8,9.6%
23,Alvin Kamara(NO),14,89,6.4,18,0,0,1,1,9,9.0,0,0,1,9.8,9.8,100.0%
24,Kapri Bibbs(FA),3,17,5.7,8,0,1,3,3,19,6.3,0,0,1,9.6,9.6,0.1%
25,Marlon Mack(IND),15,85,5.7,25,1,0,2,2,11,5.5,0,0,1,9.6,9.6,1.6%
26,Corey Clement(DAL),5,45,9.0,32,1,0,2,2,31,15.5,0,0,1,9.6,9.6,0.8%
27,Taquan Mizzell(NYG),1,7,7.0,7,0,0,2,3,21,10.5,1,0,1,8.8,8.8,0.0%
28,Tevin Coleman(NYJ),8,6,0.8,4,0,0,3,4,17,5.7,1,0,1,8.3,8.3,18.5%
29,David Johnson(HOU),17,63,3.7,12,0,0,2,3,16,8.0,0,0,1,7.9,7.9,35.4%
30,James White(NE),9,73,8.1,27,2,0,1,5,5,5.0,0,0,1,7.8,7.8,7.9%
31,Frank Gore(FA),14,67,4.8,23,1,0,1,2,10,10.0,0,0,1,7.7,7.7,12.2%
32,James Conner(ARI),13,53,4.1,11,0,0,4,4,42,10.5,0,1,1,7.5,7.5,94.6%
33,Mark Ingram II(NO),11,52,4.7,12,0,0,2,2,14,7.0,0,0,1,6.6,6.6,39.1%
34,Ty Montgomery(NO),8,51,6.4,15,0,0,3,3,13,4.3,0,0,1,6.4,6.4,0.6%
35,Alfred Blue(FA),13,49,3.8,9,0,0,1,1,13,13.0,0,0,1,6.2,6.2,0.0%
36,Jacquizz Rodgers(FA),5,31,6.2,20,1,0,4,5,31,7.8,0,0,1,6.2,6.2,0.0%
37,Isaiah Crowell(FA),6,30,5.0,12,0,0,3,4,30,10.0,0,0,1,6.0,6.0,0.1%
38,Theo Riddick(FA),2,12,6.0,7,0,0,7,7,48,6.9,0,0,1,6.0,6.0,0.0%
39,Justin Jackson(LAC),7,57,8.1,20,1,0,0,0,0,0,0,0,1,5.7,5.7,42.5%
40,LeSean McCoy(FA),17,46,2.7,7,0,0,1,1,7,7.0,0,0,1,5.3,5.3,2.0%
41,Nyheim Hines(IND),9,28,3.1,9,0,0,2,2,22,11.0,0,0,1,5.0,5.0,44.8%
42,Adrian Peterson(SEA),12,35,2.9,9,0,0,2,2,9,4.5,0,0,1,4.4,4.4,4.9%
43,Dion Lewis(FA),7,8,1.1,7,0,0,7,7,33,4.7,0,0,1,4.1,4.1,2.0%
44,Jeff Wilson Jr.(SF),7,33,4.7,18,0,0,1,1,8,8.0,0,0,1,4.1,4.1,56.1%
