Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Nick Chubb(CLE),20,176,8.8,92,2,1,3,3,33,11.0,1,0,1,32.9,32.9,99.8%
2,Christian McCaffrey(CAR),14,77,5.5,21,1,1,5,5,61,12.2,2,0,1,31.8,31.8,47.2%
3,Ezekiel Elliott(DAL),19,151,7.9,35,2,1,6,7,36,6.0,1,0,1,30.7,30.7,99.7%
4,David Johnson(HOU),21,98,4.7,11,0,1,7,9,85,12.1,1,0,1,30.3,30.3,35.4%
5,Aaron Jones(GB),15,145,9.7,67,1,2,3,5,27,9.0,0,0,1,29.2,29.2,98.9%
6,Matt Breida(BUF),17,101,5.9,23,2,1,3,4,31,10.3,1,0,1,25.2,25.2,8.2%
7,LeSean McCoy(FA),26,113,4.3,28,2,2,1,1,5,5.0,0,0,1,23.8,23.8,2.0%
8,Leonard Fournette(TB),24,53,2.2,11,0,1,5,5,56,11.2,1,0,1,22.9,22.9,74.8%
9,Melvin Gordon III(DEN),18,93,5.2,15,0,0,5,6,72,14.4,1,0,1,22.5,22.5,87.8%
10,Alvin Kamara(NO),12,56,4.7,14,0,2,4,5,46,11.5,0,0,1,22.2,22.2,100.0%
11,Mark Ingram II(NO),13,104,8.0,33,1,0,3,3,58,19.3,1,0,1,22.2,22.2,39.1%
12,Todd Gurley II(FA),16,120,7.5,17,0,1,3,4,40,13.3,0,0,1,22.0,22.0,0.4%
13,Kerryon Johnson(FA),14,51,3.6,10,0,1,6,6,38,6.3,1,1,1,18.9,18.9,0.1%
14,Derrick Henry(TEN),11,58,5.3,14,0,2,0,0,0,0,0,0,1,17.8,17.8,78.0%
15,Rashaad Penny(SEA),12,108,9.0,38,2,1,0,0,0,0,0,0,1,16.8,16.8,78.9%
16,Mike Davis(ATL),11,58,5.3,12,0,0,4,6,22,5.5,1,0,1,14.0,14.0,49.7%
17,James Conner(ARI),13,65,5.0,15,0,1,1,1,8,8.0,0,0,1,13.3,13.3,94.6%
18,Duke Johnson Jr.(MIA),3,15,5.0,9,0,0,4,4,31,7.8,1,0,1,10.6,10.6,7.4%
19,Tarik Cohen(CHI),7,15,2.1,5,0,1,6,7,29,4.8,0,0,1,10.4,10.4,3.0%
20,Frank Gore(FA),13,90,6.9,39,1,0,2,3,12,6.0,0,0,1,10.2,10.2,12.2%
21,Saquon Barkley(NYG),20,67,3.4,18,0,0,4,5,33,8.3,0,0,1,10.0,10.0,97.6%
22,Isaiah Crowell(FA),7,19,2.7,18,0,1,2,2,18,9.0,0,0,1,9.7,9.7,0.1%
23,Kareem Hunt(CLE),16,71,4.4,18,0,0,2,2,25,12.5,0,0,1,9.6,9.6,82.1%
24,Doug Martin(FA),15,61,4.1,16,0,0,3,3,31,10.3,0,0,1,9.2,9.2,0.0%
25,Jaylen Samuels(ARI),5,7,1.4,5,0,0,3,4,22,7.3,1,0,1,8.9,8.9,0.1%
26,Joe Mixon(CIN),11,61,5.5,14,0,0,2,2,24,12.0,0,0,1,8.5,8.5,98.1%
27,Jacquizz Rodgers(FA),1,0,0.0,0,0,0,8,8,102,12.8,0,1,1,8.2,8.2,0.0%
28,Spencer Ware(FA),2,6,3.0,3,0,1,1,1,7,7.0,0,0,1,7.3,7.3,0.0%
29,Adrian Peterson(SEA),19,68,3.6,18,0,0,2,2,1,0.5,0,0,1,6.9,6.9,4.9%
30,Marcus Murphy(FA),14,69,4.9,17,0,0,0,0,0,0,0,0,1,6.9,6.9,0.0%
31,Dion Lewis(FA),20,57,2.9,12,0,0,2,2,11,5.5,0,0,1,6.8,6.8,2.0%
32,Peyton Barber(LV),13,61,4.7,14,0,0,1,1,5,5.0,0,0,1,6.6,6.6,1.2%
33,T.J. Yeldon(FA),3,12,4.0,9,0,0,5,6,51,10.2,0,0,1,6.3,6.3,0.0%
34,Tevin Coleman(NYJ),11,44,4.0,18,0,0,3,5,19,6.3,0,0,1,6.3,6.3,18.5%
35,James Develin(FA),1,1,1.0,1,0,1,0,0,0,0,0,0,1,6.1,6.1,0.0%
36,Theo Riddick(FA),0,0,0,0,0,0,6,7,60,10.0,0,0,1,6.0,6.0,0.0%
37,Jalen Richard(FA),3,7,2.3,6,0,0,5,6,52,10.4,0,0,1,5.9,5.9,0.7%
38,Marlon Mack(IND),12,29,2.4,7,0,0,2,2,9,4.5,0,0,1,5.8,5.8,1.6%
39,Elijah McGuire(FA),6,30,5.0,13,0,0,3,6,27,9.0,0,0,1,5.7,5.7,0.0%
40,Jordan Wilkins(FA),1,53,53.0,53,1,0,0,0,0,0,0,0,1,5.3,5.3,0.0%
41,Josh Adams(NO),7,47,6.7,29,1,0,0,0,0,0,0,0,1,4.7,4.7,0.0%
42,Dwayne Washington(NO),11,47,4.3,20,1,0,0,0,0,0,0,0,1,4.7,4.7,0.1%
43,Kapri Bibbs(FA),3,28,9.3,15,0,0,2,4,13,6.5,0,0,1,4.1,4.1,0.1%
44,Kenyan Drake(LV),8,27,3.4,6,0,0,2,2,11,5.5,0,0,1,3.8,3.8,29.4%
45,Giovani Bernard(TB),2,6,3.0,4,0,0,2,3,30,15.0,0,0,1,3.6,3.6,5.4%
46,Trenton Cannon(SF),4,30,7.5,21,1,0,1,4,5,5.0,0,0,1,3.5,3.5,0.1%
47,Wendell Smallwood(FA),2,4,2.0,3,0,0,3,3,30,10.0,0,0,1,3.4,3.4,0.0%
48,Jordan Howard(PHI),11,21,1.9,9,0,0,1,1,11,11.0,0,0,1,3.2,3.2,18.7%
49,Sony Michel(LAR),11,31,2.8,7,0,0,0,0,0,0,0,0,1,3.1,3.1,89.4%
50,Ito Smith(DAL),4,11,2.8,4,0,0,4,5,15,3.8,0,0,1,2.6,2.6,0.0%
51,Stevan Ridley(FA),8,26,3.3,9,0,0,0,1,0,0,0,0,1,2.6,2.6,0.0%
52,James White(NE),1,-5,-5.0,0,0,0,5,8,31,6.2,0,0,1,2.6,2.6,7.9%
53,Rod Smith(FA),2,8,4.0,6,0,0,1,1,14,14.0,0,0,1,2.2,2.2,0.0%
54,Nyheim Hines(IND),3,3,1.0,2,0,0,3,4,19,6.3,0,0,1,2.2,2.2,44.8%
55,Austin Ekeler(LAC),3,19,6.3,9,0,0,0,0,0,0,0,0,1,1.9,1.9,99.9%
56,Alfred Morris(NYG),9,19,2.1,5,0,0,0,1,0,0,0,0,1,1.9,1.9,0.0%
57,Roosevelt Nix(FA),0,0,0,0,0,0,2,2,17,8.5,0,0,1,1.7,1.7,0.0%
58,David Fluellen(FA),3,14,4.7,13,0,0,0,0,0,0,0,0,1,1.4,1.4,0.0%
59,T.J. Logan(FA),0,0,0,0,0,0,2,2,14,7.0,0,0,1,1.4,1.4,0.0%
60,Kyle Juszczyk(SF),1,3,3.0,3,0,0,2,2,10,5.0,0,0,1,1.3,1.3,1.0%
61,Zach Line(FA),2,13,6.5,9,0,0,0,1,0,0,0,0,1,1.3,1.3,0.0%
62,Zach Zenner(FA),1,12,12.0,12,0,0,0,0,0,0,0,0,1,1.2,1.2,0.0%
63,Elijhaa Penny(NYG),0,0,0,0,0,0,2,2,12,6.0,0,0,1,1.2,1.2,0.1%
64,Malcolm Brown(MIA),0,0,0,0,0,0,1,1,10,10.0,0,0,1,1.0,1.0,3.6%
65,Corey Clement(DAL),5,13,2.6,11,0,0,1,2,-5,-5.0,0,0,1,0.8,0.8,0.8%
66,Chase Edmonds(ARI),2,7,3.5,5,0,0,0,0,0,0,0,0,1,0.7,0.7,85.1%
67,Kalen Ballage(PIT),0,0,0,0,0,0,1,1,6,6.0,0,0,1,0.6,0.6,0.1%
68,Carlos Hyde(JAC),3,5,1.7,3,0,0,0,0,0,0,0,0,1,0.5,0.5,6.9%
69,Tommy Bohanon(FA),0,0,0,0,0,0,1,1,5,5.0,0,0,1,0.5,0.5,0.0%
70,LeGarrette Blount(FA),6,4,0.7,5,0,0,0,0,0,0,0,0,1,0.4,0.4,0.1%
71,Wayne Gallman Jr.(MIN),2,3,1.5,2,0,0,0,1,0,0,0,0,1,0.3,0.3,1.0%
72,Jamaal Williams(DET),3,3,1.0,2,0,0,0,0,0,0,0,0,1,0.3,0.3,58.2%
73,Alex Armah Jr.(WAS),2,3,1.5,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.0%
74,Shaun Wilson(FA),2,7,3.5,4,0,0,1,3,-4,-4.0,0,0,1,0.3,0.3,0.0%
75,Derek Watt(PIT),2,2,1.0,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%
76,Anthony Sherman(FA),0,0,0,0,0,0,1,1,2,2.0,0,0,1,0.2,0.2,0.0%
77,Pooka Williams Jr.(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
78,Jermar Jefferson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7%
79,Josh Hokit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
80,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,Gabe Nabers(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
82,Nathan Cottrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
83,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
84,Antonio Williams(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
85,James Robinson(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3%
86,Rico Dowdle(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
87,Ty'Son Williams(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2%
88,JaMycal Hasty(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2%
89,Antonio Gibson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.9%
90,Raymond Calais(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
91,Scottie Phillips(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
92,Jason Huntley(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
93,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
95,Chuba Hubbard(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1%
96,Pete Guerriero(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
97,Sewo Olonilua(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
98,Deon Jackson(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,Trey Ragas(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
100,Jaret Patterson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7%
101,Mekhi Sargent(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5%
102,Demetric Felton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
103,Sandro Platzgummer(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
104,Javon Leake(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
105,Josh Jacobs(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0%
106,Justice Hill(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
107,David Montgomery(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7%
108,Damien Harris(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8%
109,Miles Sanders(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0%
110,Dalyn Dawkins(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
111,Devin Singletary(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1%
112,Elijah Holyfield(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
113,Dexter Williams(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
114,Darrell Henderson Jr.(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0%
115,Alec Ingold(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
116,Trevon Wesco(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
117,Ryquell Armstead(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
118,Aca'Cedric Ware(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
119,Qadree Ollison(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
120,Ty Johnson(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8%
121,Patrick Laird(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
122,Johnny Stanton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
123,Gus Edwards(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6%
124,Buddy Howell(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
125,Boston Scott(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7%
126,Nick Bawden(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
127,Darrel Williams(KC),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,79.6%
128,Phillip Lindsay(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0%
129,Ryan Nall(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
130,Mike Boone(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
131,Jeff Wilson Jr.(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1%
132,Reggie Bonnafon(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
133,Trayveon Williams(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
134,Clyde Edwards-Helaire(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.8%
135,Caleb Huntley(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
136,Anthony McFarland Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
137,Eno Benjamin(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%
138,AJ Dillon(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4%
